Geneid	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000022797	Tfrc	611.1252618203408	-1.615366603550053	0.1570723812106013	-10.284217957988314	8.301322069176539e-25	5.9985353271869665e-21
ENSMUSG00000007872	Id3	1057.3472246068914	-2.0831406201295772	0.2221166709664813	-9.378587438148372	6.6862458029219325e-21	3.2209874781275915e-17
ENSMUSG00000062624	Cyp2c67	2269.79536446548	-0.866188477501974	0.1125392146508958	-7.696770234170803	1.3954849639648992e-14	2.240838744357858e-11
ENSMUSG00000039323	Igfbp2	6568.155746050366	-1.406936075217418	0.1831610951803904	-7.681413314501992	1.5734293422745548e-14	2.2739200854551868e-11
ENSMUSG00000034118	Tpst1	534.3755509579538	-0.9795199262219044	0.1364888289326494	-7.176557480064905	7.148860371478508e-13	7.379666434900528e-10
ENSMUSG00000028445	Enho	102.15457619659291	-2.6536803136990845	0.3803331251533913	-6.977252671927628	3.0100807416014002e-12	2.416760382090191e-09
ENSMUSG00000008845	Cd163	70.66204039789696	-4.093894784916827	0.5933205154851551	-6.8999717320903216	5.201288825516091e-12	3.956264531913608e-09
ENSMUSG00000023272	Creld2	973.2103923746304	-1.4571602380507194	0.2174846446402408	-6.700060321321201	2.0833352291562975e-11	1.3685618514439462e-08
ENSMUSG00000066278	Vps37b	576.5607392927475	-1.0984445210440663	0.1677044735241022	-6.549882051215525	5.758254476639942e-11	3.3287317478560186e-08
ENSMUSG00000042745	Id1	398.3163463853117	-1.800040330308643	0.2754897413952059	-6.533965007888919	6.405091622305852e-11	3.428384597243117e-08
ENSMUSG00000021270	Hsp90aa1	1659.3694470309576	-0.9765024240352398	0.1493712532609308	-6.537418698157575	6.258964826932819e-11	3.428384597243117e-08
ENSMUSG00000056708	Ier5	245.8869228900874	-1.281121675977537	0.2000340576355859	-6.404517766226755	1.508453893166525e-10	7.517301953118145e-08
ENSMUSG00000032735	Ablim3	640.3041481842721	-1.3170865736531274	0.2069631998412917	-6.363868430054841	1.9673468075341703e-10	9.171643891123816e-08
ENSMUSG00000074794	Arrdc3	2392.811004975925	-1.5287715308506915	0.2412517503571329	-6.3368308357871	2.3453925418197637e-10	1.027139788314522e-07
ENSMUSG00000021986	Amer2	35.204964111713224	-3.13938812053003	0.5045360357799334	-6.222326846638474	4.898352515091867e-10	2.022599729945933e-07
