Geneid	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000028211	Trp53inp1	4126.133478217476	1.7195606817090177	0.1482391633475419	11.59990816784066	4.1252066590817665e-31	5.961748663704969e-27
ENSMUSG00000050423	Ppp1r3g	305.4097586927354	3.6326840641309905	0.419409918040232	8.66141669015687	4.6593698290357435e-18	1.6834303192306143e-14
ENSMUSG00000031618	Nr3c2	433.22591161172625	1.9071915280024672	0.2349547366237153	8.117272098484536	4.767789984486473e-16	1.3780820171159698e-12
ENSMUSG00000031561	Tenm3	1071.3509199081043	1.231139482383381	0.1566301043282403	7.86017150191866	3.836078705947759e-15	9.239834909726168e-12
ENSMUSG00000031762	Mt2	5420.40778038155	1.977172054035187	0.2528296436264644	7.820174982947412	5.274995930530533e-15	1.0890605884003892e-11
ENSMUSG00000032607	Amt	1282.79953720064	0.8795562312554326	0.1136453424871198	7.73948330839091	9.982164187228131e-15	1.8032779604227623e-11
ENSMUSG00000060961	Slc4a4	3923.026403386013	1.0546035615341574	0.1379991326617446	7.642102824799194	2.1370239985382747e-14	2.807660984261377e-11
ENSMUSG00000034936	Arl4d	1419.8682825471917	2.003673863144628	0.2713987134129065	7.382768466172624	1.550314993026357e-13	1.867096023268076e-10
ENSMUSG00000074622	Mafb	6741.896387494638	1.7087501515179004	0.2350738574880075	7.268992689266069	3.621780006388571e-13	4.0263049732559706e-10
ENSMUSG00000022462	Slc38a2	7019.753527481062	1.3806509222707024	0.1945588521073168	7.0963151114252465	1.2812715823806549e-12	1.234462460571015e-09
ENSMUSG00000037709	Fam13a	1143.1736255680544	0.7552512236457872	0.1066517654475717	7.081469495383613	1.426337691533005e-12	1.2883395198771863e-09
ENSMUSG00000036687	Tmem184a	407.4889029507673	0.8036882781984447	0.1145434285541996	7.0164503397779425	2.275757372087487e-12	1.934661502435786e-09
ENSMUSG00000028680	Plk3	2181.938983925067	1.011741495193756	0.149322222679786	6.775558768391658	1.2392635410518832e-11	8.954918347640908e-09
ENSMUSG00000037622	Wdtc1	3255.8960616976856	0.7081261639938841	0.1054306995119591	6.716508258712261	1.8613076440044718e-11	1.2809341938644109e-08
ENSMUSG00000030762	Aqp8	2782.1001252606284	1.5247158984415674	0.228392597942083	6.675855137950716	2.4579467053785687e-11	1.5444454689622205e-08
