.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
C-Ba-1_S54_L005_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
C-Ba-1_S54_L006_R1_001	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
C-Ba-1_S54_L007_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
C-Ba-2_S55_L005_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
C-Ba-2_S55_L006_R1_001	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
C-Ba-2_S55_L007_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
C-Ba-3_S56_L005_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
C-Ba-3_S56_L006_R1_001	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
C-Ba-3_S56_L007_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
C-FLT-1_S60_L005_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
C-FLT-1_S60_L006_R1_001	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
C-FLT-1_S60_L007_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
C-FLT-2_S61_L005_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
C-FLT-2_S61_L006_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
C-FLT-2_S61_L007_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
C-FLT-4_S62_L005_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
C-FLT-4_S62_L006_R1_001	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
C-FLT-4_S62_L007_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
C-GC-2_S57_L005_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
C-GC-2_S57_L006_R1_001	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
C-GC-2_S57_L007_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
C-GC-3_S58_L005_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
C-GC-3_S58_L006_R1_001	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
C-GC-3_S58_L007_R1_001	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
C-GC-5_S59_L005_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
C-GC-5_S59_L006_R1_001	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
C-GC-5_S59_L007_R1_001	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
