Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
C-Ba-1_S54_L005_R1_001 - polya	(1, 0.05885401081133759)	(2, 0.06183731747031838)	(3, 0.0640333626498459)	(4, 0.06610510338524922)	(5, 0.06782879167710479)	(6, 0.06883980115598161)	(7, 0.06988395848662489)	(8, 0.07173195122260465)	(9, 0.07527048439867352)	(10, 0.07813777357647173)	(11, 0.07986146186832728)	(12, 0.08128681949428478)	(13, 0.08304365563790679)	(14, 0.08462646555975493)	(15, 0.08621756244454468)	(16, 0.08801583340287476)	(17, 0.09001299147180357)	(18, 0.09186927117072495)	(19, 0.0937089769437631)	(20, 0.09681658804686807)	(21, 0.09933582478111852)	(22, 0.10366161943664065)	(23, 0.1056753514314527)	(24, 0.10739075276036664)	(25, 0.10947078045871157)	(26, 0.11180770400824652)	(27, 0.11464184533427826)	(28, 0.11644840325554996)	(29, 0.11837097865800425)	(30, 0.12022725835692563)	(31, 0.12273820812823445)	(32, 0.12530716664013458)	(33, 0.12748663789377887)	(34, 0.12940092633329153)	(35, 0.1311826233657384)	(36, 0.13376815580352175)	(37, 0.13630396646365542)	(38, 0.13882320319790586)	(39, 0.14130100511744823)
C-Ba-1_S54_L006_R1_001 - polya	(1, 0.056542724733788866)	(2, 0.05956954717306975)	(3, 0.06190692672340333)	(4, 0.06399207107046351)	(5, 0.065656823412068)	(6, 0.06669939558559808)	(7, 0.0681371362442565)	(8, 0.07029795115229868)	(9, 0.0735265617541983)	(10, 0.0764272665918425)	(11, 0.07815928165431989)	(12, 0.07993333591734286)	(13, 0.0813794844161104)	(14, 0.08327965628077007)	(15, 0.0849107772619381)	(16, 0.08692025104801625)	(17, 0.08897176403463997)	(18, 0.09077104181799027)	(19, 0.0930243429672327)	(20, 0.09632021629000524)	(21, 0.09919569760732208)	(22, 0.1035929979843885)	(23, 0.10563610313090309)	(24, 0.10763716907687212)	(25, 0.10965505070305939)	(26, 0.11215217921546612)	(27, 0.11469975476852753)	(28, 0.11633087574969557)	(29, 0.11823104761435524)	(30, 0.12003873323781467)	(31, 0.1220986540645475)	(32, 0.12437717873411727)	(33, 0.12630257411910428)	(34, 0.12814389110300017)	(35, 0.13025425897038767)	(36, 0.13320541084868653)	(37, 0.1356605001605477)	(38, 0.13848553443720987)	(39, 0.14121808247267179)
C-Ba-1_S54_L007_R1_001 - polya	(1, 0.05770089611382796)	(2, 0.060721571826149075)	(3, 0.06280951764429737)	(4, 0.06491457777243051)	(5, 0.0665318800659962)	(6, 0.06771276745494893)	(7, 0.06926161250857533)	(8, 0.07122975815682989)	(9, 0.07514037798836176)	(10, 0.07816105370068287)	(11, 0.07960721289440034)	(12, 0.08147267268274597)	(13, 0.08344937548599292)	(14, 0.08556299276911845)	(15, 0.0873685524725172)	(16, 0.0893794838957338)	(17, 0.0916899157436848)	(18, 0.09355537553203042)	(19, 0.0960198361698448)	(20, 0.09981065583148292)	(21, 0.10295113171369778)	(22, 0.10798273884923551)	(23, 0.11037874224711061)	(24, 0.11267205978507679)	(25, 0.11498249163302778)	(26, 0.11764376683566763)	(27, 0.1208698142678066)	(28, 0.12251278802634953)	(29, 0.12472053401439159)	(30, 0.12662022242270685)	(31, 0.12900766866558955)	(32, 0.13146357214841153)	(33, 0.13361997520649913)	(34, 0.13570792102464743)	(35, 0.13776163822282608)	(36, 0.1407823139351472)	(37, 0.1436318465476201)	(38, 0.14629312175025994)	(39, 0.14906563996780114)
C-Ba-2_S55_L005_R1_001 - polya	(1, 0.11523927628312705)	(2, 0.11907479914342194)	(3, 0.12107522270417918)	(4, 0.12309217869105839)	(5, 0.12467929159876662)	(6, 0.1256547047399623)	(7, 0.12672104622482877)	(8, 0.1290190534557813)	(9, 0.13164770920917304)	(10, 0.1343672933062356)	(11, 0.13567335496987049)	(12, 0.13745885699104224)	(13, 0.13961633859995812)	(14, 0.1416415607998983)	(15, 0.1434931925255579)	(16, 0.14515470135081493)	(17, 0.14698980065035258)	(18, 0.14859344598418275)	(19, 0.15058560333187904)	(20, 0.1524455012705996)	(21, 0.15381769263872236)	(22, 0.1558181161994796)	(23, 0.15714897650229742)	(24, 0.1588518163928594)	(25, 0.16078611024912878)	(26, 0.16278653380988603)	(27, 0.1643984453567772)	(28, 0.1659607596253025)	(29, 0.16771319679423033)	(30, 0.1696144257982558)	(31, 0.17163964799819598)	(32, 0.173739266115685)	(33, 0.1757562221025642)	(34, 0.1773598674363944)	(35, 0.1795338814714322)	(36, 0.18158390231055535)	(37, 0.18398937031130064)	(38, 0.1861964491985824)	(39, 0.18845312536423)
C-Ba-2_S55_L006_R1_001 - polya	(1, 0.11881575613333657)	(2, 0.12242003477167188)	(3, 0.12431834393849812)	(4, 0.12664314547320166)	(5, 0.12830730196746784)	(6, 0.12941116456667956)	(7, 0.13069064167031136)	(8, 0.1327227523643148)	(9, 0.13541550809875555)	(10, 0.13828387833761638)	(11, 0.13967206918207964)	(12, 0.1413111378900001)	(13, 0.14310909591144347)	(14, 0.1449488669101297)	(15, 0.14673846233612448)	(16, 0.14854478295301643)	(17, 0.1507859585332342)	(18, 0.15237485166846323)	(19, 0.15409754633086944)	(20, 0.15593731732955568)	(21, 0.15737568374671038)	(22, 0.15900638985918225)	(23, 0.1604531188717855)	(24, 0.16210055017515457)	(25, 0.16383160743300934)	(26, 0.16557102728631268)	(27, 0.1674776990485875)	(28, 0.16889934027484507)	(29, 0.17073074867808272)	(30, 0.17259560746311467)	(31, 0.1745691799889781)	(32, 0.1767434548056073)	(33, 0.1786835769496764)	(34, 0.1803728212302883)	(35, 0.18194498917462018)	(36, 0.18403563803676365)	(37, 0.1861597372807014)	(38, 0.18834237469277915)	(39, 0.19070062660927697)
C-Ba-2_S55_L007_R1_001 - polya	(1, 0.12236049680696275)	(2, 0.12679106977121457)	(3, 0.12868258361364518)	(4, 0.1307871057716648)	(5, 0.1325678552899891)	(6, 0.13373514085941698)	(7, 0.13510691441181033)	(8, 0.13773969719249077)	(9, 0.14117339123978592)	(10, 0.144453719299857)	(11, 0.14578289118913254)	(12, 0.14770848636205738)	(13, 0.14970224419597072)	(14, 0.15126146506608243)	(15, 0.15317001957376014)	(16, 0.15525750106653263)	(17, 0.15731942156143444)	(18, 0.15896384575778177)	(19, 0.1610683679158014)	(20, 0.16288319876461993)	(21, 0.16451910262834368)	(22, 0.16672586877784604)	(23, 0.16857478095715883)	(24, 0.17034701014285958)	(25, 0.17202551566970112)	(26, 0.174027793836238)	(27, 0.1756125757042204)	(28, 0.17734220322680333)	(29, 0.17931892039546954)	(30, 0.18118487324002944)	(31, 0.18342572072002605)	(32, 0.1855898852064106)	(33, 0.18737915505735844)	(34, 0.18929622989765973)	(35, 0.19109402008123114)	(36, 0.19346267255058117)	(37, 0.1959846910071553)	(38, 0.19854079079422365)	(39, 0.201233215903269)
C-Ba-3_S56_L005_R1_001 - polya	(1, 0.052882034756145155)	(2, 0.05631916624826818)	(3, 0.05847941945242962)	(4, 0.06051118175968926)	(5, 0.061892458901383555)	(6, 0.0630087235682179)	(7, 0.06404468142448863)	(8, 0.06633342552555185)	(9, 0.06917628661950408)	(10, 0.07162564434169456)	(11, 0.07275797037064163)	(12, 0.0743801679440268)	(13, 0.07583372121522836)	(14, 0.07759244036657167)	(15, 0.07940737428530954)	(16, 0.08112594003137105)	(17, 0.08334240800292703)	(18, 0.08482808399835404)	(19, 0.08669923268448643)	(20, 0.0892770813035787)	(21, 0.091124137946542)	(22, 0.09400715244577604)	(23, 0.09576587159711936)	(24, 0.09758080551585722)	(25, 0.09940377011565145)	(26, 0.10127491880178384)	(27, 0.10349941745439617)	(28, 0.10492084800137229)	(29, 0.10659122966109562)	(30, 0.10822145791553715)	(31, 0.11019700545540226)	(32, 0.11212436890892918)	(33, 0.11370641307703254)	(34, 0.11531254928830498)	(35, 0.11716763661232465)	(36, 0.11938410458388063)	(37, 0.12159254187438023)	(38, 0.12379294848382348)	(39, 0.12616199939545034)
C-Ba-3_S56_L006_R1_001 - polya	(1, 0.05186381001775057)	(2, 0.055394444972010584)	(3, 0.05760210636869731)	(4, 0.05964743972151001)	(5, 0.06116520693173213)	(6, 0.06213917519497627)	(7, 0.06340533393719365)	(8, 0.06537761967026305)	(9, 0.06858359853677501)	(10, 0.07148927052212004)	(11, 0.07294210651479255)	(12, 0.07442740811623987)	(13, 0.07618055099007932)	(14, 0.0780960219077928)	(15, 0.07963813832459603)	(16, 0.08137504839404808)	(17, 0.08325805370298675)	(18, 0.08479205371759628)	(19, 0.08714581035376963)	(20, 0.09010018075227685)	(21, 0.09256756701916201)	(22, 0.09534337656940782)	(23, 0.09712898505202208)	(24, 0.09878473109953712)	(25, 0.10074078402821911)	(26, 0.10293221262051842)	(27, 0.10509929200623665)	(28, 0.10666575762962097)	(29, 0.10860557775391555)	(30, 0.11055351428040384)	(31, 0.11247710160031102)	(32, 0.11426271008292528)	(33, 0.11612948258747656)	(34, 0.11789885826570341)	(35, 0.11960330272638066)	(36, 0.12177849851429258)	(37, 0.12408355673730372)	(38, 0.12627498532960305)	(39, 0.12832031868241572)
C-Ba-3_S56_L007_R1_001 - polya	(1, 0.051740969601973795)	(2, 0.05485600402227787)	(3, 0.05703735438556772)	(4, 0.05906997631499691)	(5, 0.0607059890874643)	(6, 0.061871028486039564)	(7, 0.06320958439078561)	(8, 0.06558097664178633)	(9, 0.06923308596214282)	(10, 0.07224896809320645)	(11, 0.07363710014257273)	(12, 0.0754218413489008)	(13, 0.07746272596910002)	(14, 0.07948708520775916)	(15, 0.08142881753871793)	(16, 0.08313093183734563)	(17, 0.08505613878676432)	(18, 0.0865764738884512)	(19, 0.0887247734886609)	(20, 0.09254213662441815)	(21, 0.09511183345389976)	(22, 0.0983094947819042)	(23, 0.10021817634978283)	(24, 0.10216817137151164)	(25, 0.10406032755785019)	(26, 0.10654739747963143)	(27, 0.10913361969065312)	(28, 0.11092662358775122)	(29, 0.11278572901100963)	(30, 0.11428953873115642)	(31, 0.11614864415441482)	(32, 0.11835478259001479)	(33, 0.12019736263173311)	(34, 0.1218746888580507)	(35, 0.12357680315667838)	(36, 0.1261960761307802)	(37, 0.12869967143410152)	(38, 0.13088928448816142)	(39, 0.13324415135762208)
C-FLT-1_S60_L005_R1_001 - polya	(1, 0.05187144300971093)	(2, 0.054797911423934836)	(3, 0.056969703169734244)	(4, 0.0589150919150063)	(5, 0.06044960114080279)	(6, 0.06140552492080716)	(7, 0.06267170466449716)	(8, 0.06471771696555915)	(9, 0.06826469730715433)	(10, 0.07115762453611493)	(11, 0.07254119842822651)	(12, 0.0743440371361295)	(13, 0.07618880232561162)	(14, 0.07831028229351607)	(15, 0.08009635040878739)	(16, 0.08212559211721772)	(17, 0.08428061327038547)	(18, 0.0862176167193417)	(19, 0.08851518790987853)	(20, 0.09218794769621111)	(21, 0.09470353659095947)	(22, 0.09841822285887118)	(23, 0.10093381175361954)	(24, 0.10339908887047292)	(25, 0.10568827476469392)	(26, 0.10831287251154802)	(27, 0.11087877318419133)	(28, 0.11294155607788497)	(29, 0.11507142134210525)	(30, 0.116983268902114)	(31, 0.11922214301844002)	(32, 0.12141070535687108)	(33, 0.1234651029542489)	(34, 0.1254524181811001)	(35, 0.1272301010000556)	(36, 0.13032427534059607)	(37, 0.13286502012429188)	(38, 0.13537222372272442)	(39, 0.13769495080220873)
