Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
C-Ba-1_S54_L005_R1_001	(1, 0.03441575709652)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 2.4860888824839876e-05)	(6, 0.0)	(7, 0.0006629570353290633)	(8, 8.28696294161329e-06)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.00012430444412419938)	(22, 0.0002071740735403323)	(23, 0.0)	(24, 8.28696294161329e-06)	(25, 0.0003563394064893715)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 1.657392588322658e-05)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 4.1434814708066455e-05)	(44, 0.0)	(45, 1.657392588322658e-05)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-Ba-1_S54_L006_R1_001	(1, 0.018791522643868862)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0030688616398264583)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0005212860867650423)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0028250342766621647)	(24, 0.00398531621171984)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0012948073768034923)	(44, 8.407840109113585e-06)	(45, 0.890037138270546)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-Ba-1_S54_L007_R1_001	(1, 0.030352228758082127)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0007273581743549424)	(8, 0.0)	(9, 0.0)	(10, 0.0009412870491652196)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 8.557154992411086e-06)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0038421625915925784)	(24, 0.0006417866244308316)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.00010268585990893305)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-Ba-2_S55_L005_R1_001	(1, 0.0331475143745312)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 1.65324261219607e-05)	(6, 0.0)	(7, 0.0008927510105858778)	(8, 2.479863918294105e-05)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 9.91945567317642e-05)	(22, 0.00014879183509764631)	(23, 0.0)	(24, 4.95972783658821e-05)	(25, 0.00038851201386607646)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 4.95972783658821e-05)	(44, 0.0)	(45, 1.65324261219607e-05)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-Ba-2_S55_L006_R1_001	(1, 0.018297358841479476)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0028767328343093875)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0006104694677458876)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0029938091705894207)	(24, 0.004122759556146884)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.001304564889977513)	(44, 8.3625954485738e-06)	(45, 0.8886428427472464)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-Ba-2_S55_L007_R1_001	(1, 0.029599635534251694)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0009627975864624184)	(8, 0.0)	(9, 0.0)	(10, 0.0009713179190859796)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 8.520332623561225e-06)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0036211413650135203)	(24, 0.0006134639488964081)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0001704066524712245)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-Ba-3_S56_L005_R1_001	(1, 0.03245198214875969)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 4.818408633817326e-05)	(6, 0.0)	(7, 0.0006344238034526146)	(8, 8.030681056362212e-06)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 8.030681056362211e-05)	(22, 0.00020076702640905525)	(23, 0.0)	(24, 4.0153405281811054e-05)	(25, 0.00042562609598719716)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 8.030681056362211e-05)	(44, 0.0)	(45, 1.6061362112724423e-05)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-Ba-3_S56_L006_R1_001	(1, 0.01842423297970169)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0028163915612143113)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0005600317513653818)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0031653968555434625)	(24, 0.004033851890269489)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0013960211773166038)	(44, 2.4349206581103552e-05)	(45, 0.8923172571755082)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-Ba-3_S56_L007_R1_001	(1, 0.030051406330625786)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0009171586754741442)	(8, 0.0)	(9, 0.0)	(10, 0.0010163109647145922)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 2.4788072310112007e-05)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.003586007794196203)	(24, 0.0005701256631325761)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.00013220305232059735)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
C-FLT-1_S60_L005_R1_001	(1, 0.03247625263120117)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 1.677059263165565e-05)	(6, 0.0)	(7, 0.0006624384089503982)	(8, 8.385296315827825e-06)	(9, 8.385296315827825e-06)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.00010062355578993391)	(22, 0.0001341647410532452)	(23, 0.0)	(24, 4.192648157913913e-05)	(25, 0.0004528060010547026)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 5.869707421079478e-05)	(44, 0.0)	(45, 3.35411852633113e-05)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
