Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
C-Ba-1_S54_L005_R1_001	(1, 31.006878427850427)	(2, 31.52898899797939)	(3, 35.88793896353463)	(4, 36.45345763998731)	(5, 36.63099960578917)	(6, 40.95781364062276)	(7, 40.9337372785796)	(8, 41.132291253268065)	(9, 41.14891042596896)	(10, 41.08178179979079)	(11, 41.2464954640894)	(12, 41.25366161529316)	(13, 41.20727931796969)	(14, 41.191417656551295)	(15, 41.18749808881917)	(16, 41.17990979972316)	(17, 41.19149489104591)	(18, 41.18808994371246)	(19, 41.19652167989666)	(20, 41.17125937058693)	(21, 41.16835445859738)	(22, 41.17788289145728)	(23, 41.1549676986615)	(24, 41.16595140508357)	(25, 41.16468109653425)	(26, 41.12798468436657)	(27, 41.11033022138539)	(28, 41.10156476920353)	(29, 41.084633177999734)	(30, 41.06589784644208)	(31, 40.92771796017733)	(32, 41.03349573847074)	(33, 41.06155125150958)	(34, 41.051413229655694)	(35, 41.03675773569345)	(36, 41.04903337963812)	(37, 41.0108547612787)	(38, 41.01270134523098)	(39, 41.020543961219666)	(40, 41.014043253140116)	(41, 40.935103633029414)	(42, 40.96111284630907)	(43, 40.96345797395192)	(44, 40.95902859225963)	(45, 40.95328009180629)	(46, 40.94422666766221)	(47, 40.930676157338596)	(48, 40.931418586348535)	(49, 40.92369944610768)	(50, 40.905621353580926)
C-Ba-1_S54_L006_R1_001	(1, 31.044939989461614)	(2, 31.50087613897857)	(3, 35.905352859813306)	(4, 36.46004480874308)	(5, 36.63719127357001)	(6, 40.96509611296303)	(7, 40.932600483568514)	(8, 41.13992487258549)	(9, 41.16294688405866)	(10, 41.135019234195425)	(11, 41.269900916126666)	(12, 41.27760821499789)	(13, 41.228520217618446)	(14, 41.21519580892713)	(15, 41.193005921389556)	(16, 41.202578919980986)	(17, 41.20200348740392)	(18, 41.196048046097836)	(19, 41.20421020911896)	(20, 41.153631333531365)	(21, 41.167875896244226)	(22, 41.18884378830034)	(23, 41.166255453219996)	(24, 41.175097726427545)	(25, 41.115432918426045)	(26, 41.13433567679456)	(27, 41.12276926339165)	(28, 41.109381627742714)	(29, 41.10149700752359)	(30, 41.093927429073354)	(31, 41.09309749117618)	(32, 41.095693243653066)	(33, 41.097193286406934)	(34, 41.08858592825203)	(35, 41.017925178799025)	(36, 40.956002277179415)	(37, 41.020887260869465)	(38, 41.02090836454814)	(39, 41.026274079948976)	(40, 41.01610395655299)	(41, 40.99267660310816)	(42, 40.985897445706584)	(43, 40.97244649902162)	(44, 40.964991519432076)	(45, 40.41249855700444)	(46, 40.8802781582559)	(47, 40.90267613983617)	(48, 40.92441141545904)	(49, 40.918469847089135)	(50, 40.91609034425986)
C-Ba-1_S54_L007_R1_001	(1, 31.046183821209542)	(2, 31.462799180601067)	(3, 35.883399179214805)	(4, 36.452175387106436)	(5, 36.631292557405885)	(6, 40.96306081561496)	(7, 40.93273117774606)	(8, 41.12752873556825)	(9, 41.15441437526736)	(10, 41.143321564107595)	(11, 41.276273910081585)	(12, 41.27667755108258)	(13, 41.221921172001636)	(14, 41.197130751702424)	(15, 41.18036865421709)	(16, 41.1931538139197)	(17, 41.19539518952686)	(18, 41.19326907879745)	(19, 41.12540955613438)	(20, 41.14655728112488)	(21, 41.17495206067844)	(22, 41.179202228420074)	(23, 41.153818112707484)	(24, 41.168175906354605)	(25, 41.15613128284504)	(26, 41.109210262732894)	(27, 41.06277580245363)	(28, 41.08436088363578)	(29, 41.09293036093138)	(30, 41.07927117341785)	(31, 41.078104747620834)	(32, 41.078136665808955)	(33, 41.09135276383699)	(34, 41.07929265187688)	(35, 41.064527366509026)	(36, 41.06276621844004)	(37, 41.041952992638194)	(38, 41.04116214037379)	(39, 41.03476446901527)	(40, 41.02323387380609)	(41, 40.98422565491544)	(42, 40.98375364224606)	(43, 40.97652045027407)	(44, 40.96923685665918)	(45, 40.96415279416354)	(46, 40.96238865109031)	(47, 40.899927666368846)	(48, 40.92147364135269)	(49, 40.85503169698566)	(50, 40.89925824013379)
C-Ba-2_S55_L005_R1_001	(1, 30.98387972726126)	(2, 31.51934533576448)	(3, 35.87527069781221)	(4, 36.44884842559226)	(5, 36.627932707735305)	(6, 40.95145501055678)	(7, 40.92293277303839)	(8, 41.122520818044286)	(9, 41.13783728422497)	(10, 41.06846168585447)	(11, 41.233341390135664)	(12, 41.24245026095608)	(13, 41.19306600290078)	(14, 41.167027927731475)	(15, 41.16379707835659)	(16, 41.1620271994781)	(17, 41.17644033389549)	(18, 41.171063906258496)	(19, 41.180670485767315)	(20, 41.15618034165581)	(21, 41.15461323298371)	(22, 41.163319125917404)	(23, 41.140813203589055)	(24, 41.15209931226761)	(25, 41.1495662139372)	(26, 41.111106913711815)	(27, 41.092885617599364)	(28, 41.08654782938338)	(29, 41.06886730892938)	(30, 41.05335410687783)	(31, 40.91255404656754)	(32, 41.018225925191764)	(33, 41.0553280785568)	(34, 41.03900453963889)	(35, 41.02354746517403)	(36, 41.040096341059986)	(37, 41.002427869438144)	(38, 41.00664653127381)	(39, 41.01546509269153)	(40, 41.01088420539952)	(41, 40.92367028456769)	(42, 40.952116307601656)	(43, 40.95877052645362)	(44, 40.95529549314491)	(45, 40.94927537549686)	(46, 40.942281249963834)	(47, 40.92843633503226)	(48, 40.93385004329016)	(49, 40.92454137810006)	(50, 40.9104440130216)
C-Ba-2_S55_L006_R1_001	(1, 31.01808093487127)	(2, 31.488425498891537)	(3, 35.89328082180898)	(4, 36.45275108483769)	(5, 36.631896109804224)	(6, 40.95688011634043)	(7, 40.92076148121635)	(8, 41.13040280113497)	(9, 41.15055431463931)	(10, 41.119698428082934)	(11, 41.25718451481475)	(12, 41.264202906670924)	(13, 41.21393885771964)	(14, 41.19137548806198)	(15, 41.16976821394195)	(16, 41.18295142753686)	(17, 41.18504082200968)	(18, 41.18197041146478)	(19, 41.18932916095571)	(20, 41.138608263415065)	(21, 41.15645872515577)	(22, 41.17621293175035)	(23, 41.15297269361708)	(24, 41.15984816871703)	(25, 41.10054724824615)	(26, 41.119669242624816)	(27, 41.1086111317853)	(28, 41.09246839566115)	(29, 41.0858661265545)	(30, 41.07874119523232)	(31, 41.07411734895689)	(32, 41.079679980197376)	(33, 41.089113656871)	(34, 41.07627130266658)	(35, 41.00386009043311)	(36, 40.94965240872018)	(37, 41.01214173595774)	(38, 41.0144107589808)	(39, 41.017963524031174)	(40, 41.0102553853024)	(41, 40.97868809275122)	(42, 40.973547354451114)	(43, 40.96949718222346)	(44, 40.961679242616455)	(45, 40.41377252569617)	(46, 40.87925833813485)	(47, 40.90379594932602)	(48, 40.9219571651136)	(49, 40.91846034582677)	(50, 40.91729050234947)
C-Ba-2_S55_L007_R1_001	(1, 31.025616124422758)	(2, 31.453437276847165)	(3, 35.870925566288996)	(4, 36.44635151262743)	(5, 36.626081624275315)	(6, 40.956735369800754)	(7, 40.92193586046967)	(8, 41.119646174443076)	(9, 41.14320983594014)	(10, 41.129897838655744)	(11, 41.26581273621024)	(12, 41.26511892552471)	(13, 41.210468915653905)	(14, 41.17711377310916)	(15, 41.160059304923195)	(16, 41.17782036429364)	(17, 41.1840274266099)	(18, 41.181478057885606)	(19, 41.112615536775415)	(20, 41.13283871666409)	(21, 41.16231174005556)	(22, 41.167318372708486)	(23, 41.14001965299923)	(24, 41.15395823554476)	(25, 41.14382338509237)	(26, 41.09717729048481)	(27, 41.05063020214234)	(28, 41.07242069721711)	(29, 41.08077147522147)	(30, 41.0653892075162)	(31, 41.06438295623335)	(32, 41.067273479075894)	(33, 41.08680480795554)	(34, 41.069183141226816)	(35, 41.04870205086962)	(36, 41.053298940726684)	(37, 41.03393486597645)	(38, 41.03647545875814)	(39, 41.02918196882904)	(40, 41.02083144643467)	(41, 40.97805588332802)	(42, 40.978043273235734)	(43, 40.97482318392731)	(44, 40.96708757393838)	(45, 40.96382190085042)	(46, 40.96050076039708)	(47, 40.90309774585228)	(48, 40.92049404978311)	(49, 40.85558462219695)	(50, 40.90490141506536)
C-Ba-3_S56_L005_R1_001	(1, 30.99718323861948)	(2, 31.51619137883903)	(3, 35.88298872074784)	(4, 36.44989545659401)	(5, 36.62699526286186)	(6, 40.95070366433552)	(7, 40.92298592928311)	(8, 41.123027062431476)	(9, 41.1368662547891)	(10, 41.06643388934557)	(11, 41.23862140831805)	(12, 41.244516570667905)	(13, 41.194487836891085)	(14, 41.17483218285796)	(15, 41.17103069936631)	(16, 41.1670120662589)	(17, 41.179930781953836)	(18, 41.17591447774393)	(19, 41.18229613875218)	(20, 41.15546675763822)	(21, 41.154708661346504)	(22, 41.16583910498381)	(23, 41.14273467497103)	(24, 41.152474686490244)	(25, 41.152808923435806)	(26, 41.11563393714418)	(27, 41.09830372742455)	(28, 41.089574377116286)	(29, 41.0715086373187)	(30, 41.054710058685004)	(31, 40.91221228880514)	(32, 41.018916911682744)	(33, 41.05644283873654)	(34, 41.042565902177955)	(35, 41.02465611820649)	(36, 41.03519486126356)	(37, 40.9985905351678)	(38, 40.99914368847896)	(39, 41.0072851929339)	(40, 41.00159119914451)	(41, 40.921352890290294)	(42, 40.94767882800883)	(43, 40.947419999158384)	(44, 40.94346561149942)	(45, 40.93884845173287)	(46, 40.92892566191283)	(47, 40.91699865502154)	(48, 40.918207513440954)	(49, 40.911717598852064)	(50, 40.89406841048088)
C-Ba-3_S56_L006_R1_001	(1, 31.030395601559324)	(2, 31.485346809807535)	(3, 35.89571064376867)	(4, 36.454516331418674)	(5, 36.63033245595025)	(6, 40.95580700169552)	(7, 40.91887136557655)	(8, 41.126322547446456)	(9, 41.14640910075945)	(10, 41.11616884713811)	(11, 41.25826383663955)	(12, 41.26439326241221)	(13, 41.2147343542144)	(14, 41.19748578209246)	(15, 41.17476237203477)	(16, 41.18711975670273)	(17, 41.18735294093775)	(18, 41.18156903040648)	(19, 41.189455981910164)	(20, 41.13856191962652)	(21, 41.15409330453634)	(22, 41.17562141204296)	(23, 41.1531940883373)	(24, 41.161117563650855)	(25, 41.10215660922689)	(26, 41.117956890541386)	(27, 41.1087683116179)	(28, 41.093202837818865)	(29, 41.08764634887706)	(30, 41.07777177164015)	(31, 41.074217193299425)	(32, 41.07916811747356)	(33, 41.089759778844275)	(34, 41.07657728072931)	(35, 41.0020264221357)	(36, 40.94373287946412)	(37, 41.006014741009665)	(38, 41.004233921204346)	(39, 41.007897989810665)	(40, 41.000118012487896)	(41, 40.974134243669006)	(42, 40.967810105407715)	(43, 40.95443776464544)	(44, 40.94848909114963)	(45, 40.39874966824206)	(46, 40.86384272685141)	(47, 40.88823097332707)	(48, 40.90842652992152)	(49, 40.90261007261745)	(50, 40.89912399671123)
C-Ba-3_S56_L007_R1_001	(1, 31.031042433461582)	(2, 31.445447691176973)	(3, 35.868846309407196)	(4, 36.44283643301292)	(5, 36.623077364813085)	(6, 40.95048161158826)	(7, 40.91323811133067)	(8, 41.11127935785672)	(9, 41.136762487714414)	(10, 41.123740652314645)	(11, 41.26389662712831)	(12, 41.26269390985983)	(13, 41.20528803946591)	(14, 41.17667425870237)	(15, 41.15998849833445)	(16, 41.17667748115177)	(17, 41.17885139509337)	(18, 41.1758719514286)	(19, 41.10602106407758)	(20, 41.12718602911194)	(21, 41.158822797920614)	(22, 41.161455704334486)	(23, 41.13712067535929)	(24, 41.14842048337567)	(25, 41.140156718455835)	(26, 41.092180313395595)	(27, 41.044114092886694)	(28, 41.066003117513226)	(29, 41.0749400438501)	(30, 41.05983534936102)	(31, 41.0566299211037)	(32, 41.05902742345753)	(33, 41.07830766872724)	(34, 41.06363015535098)	(35, 41.041431362447476)	(36, 41.04201206435479)	(37, 41.02357502667816)	(38, 41.02242428173462)	(39, 41.01580586642782)	(40, 41.00389800699767)	(41, 40.963141293251574)	(42, 40.963933354788786)	(43, 40.95584880763175)	(44, 40.94967277678878)	(45, 40.94594696426675)	(46, 40.94262313165069)	(47, 40.88260831664614)	(48, 40.90037475433987)	(49, 40.836506633494714)	(50, 40.88366329700366)
C-FLT-1_S60_L005_R1_001	(1, 30.996290512615804)	(2, 31.516027529598627)	(3, 35.87884211132705)	(4, 36.4478690739958)	(5, 36.62515889088356)	(6, 40.94183228954562)	(7, 40.912908299992694)	(8, 41.11602617118063)	(9, 41.13158265675871)	(10, 41.06060640618191)	(11, 41.23310377466629)	(12, 41.23836999231152)	(13, 41.185924491916026)	(14, 41.16838983108408)	(15, 41.166015618285215)	(16, 41.16060525739631)	(17, 41.17035165501013)	(18, 41.16650288785412)	(19, 41.17371768065723)	(20, 41.14506529085197)	(21, 41.14272260676725)	(22, 41.15393944994301)	(23, 41.129302778543405)	(24, 41.141603840532795)	(25, 41.14151889748111)	(26, 41.104109575027316)	(27, 41.0849526947701)	(28, 41.079477934805496)	(29, 41.059769469756624)	(30, 41.044357462834064)	(31, 40.90541645699932)	(32, 41.00795739464483)	(33, 41.045243872507605)	(34, 41.03047979743137)	(35, 41.01438346647647)	(36, 41.029514733678376)	(37, 40.98822578617813)	(38, 40.98967795179411)	(39, 41.00194681424565)	(40, 40.99209610354566)	(41, 40.88815800782801)	(42, 40.91797511529153)	(43, 40.928707959163944)	(44, 40.932836040540224)	(45, 40.92656727686747)	(46, 40.91941151655044)	(47, 40.90743689414662)	(48, 40.9093915905708)	(49, 40.9018954710763)	(50, 40.88206650931938)
