Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
C-Ba-1_S54_L005_R1_001	(0.0, 8175.0)	(1.0, 11723.5)	(2.0, 15272.0)	(3.0, 8968.0)	(4.0, 2664.0)	(5.0, 2691.5)	(6.0, 2719.0)	(7.0, 3372.5)	(8.0, 4026.0)	(9.0, 5098.5)	(10.0, 6171.0)	(11.0, 8370.0)	(12.0, 10569.0)	(13.0, 13184.5)	(14.0, 15800.0)	(15.0, 22051.5)	(16.0, 28303.0)	(17.0, 29640.0)	(18.0, 30977.0)	(19.0, 24928.5)	(20.0, 18880.0)	(21.0, 24265.0)	(22.0, 29650.0)	(23.0, 37513.5)	(24.0, 45377.0)	(25.0, 56631.5)	(26.0, 67886.0)	(27.0, 87291.0)	(28.0, 106696.0)	(29.0, 131916.0)	(30.0, 157136.0)	(31.0, 181267.5)	(32.0, 205399.0)	(33.0, 244840.0)	(34.0, 284281.0)	(35.0, 333668.5)	(36.0, 383056.0)	(37.0, 403641.0)	(38.0, 424226.0)	(39.0, 491436.5)	(40.0, 558647.0)	(41.0, 625901.5)	(42.0, 693156.0)	(43.0, 736604.5)	(44.0, 780053.0)	(45.0, 820799.5)	(46.0, 861546.0)	(47.0, 888958.0)	(48.0, 916370.0)	(49.0, 941954.5)	(50.0, 967539.0)	(51.0, 970372.5)	(52.0, 973206.0)	(53.0, 958385.0)	(54.0, 943564.0)	(55.0, 896426.5)	(56.0, 849289.0)	(57.0, 780518.5)	(58.0, 711748.0)	(59.0, 645158.5)	(60.0, 578569.0)	(61.0, 507259.5)	(62.0, 435950.0)	(63.0, 373230.0)	(64.0, 310510.0)	(65.0, 258592.5)	(66.0, 206675.0)	(67.0, 177244.0)	(68.0, 147813.0)	(69.0, 122131.0)	(70.0, 96449.0)	(71.0, 78702.0)	(72.0, 60955.0)	(73.0, 52183.5)	(74.0, 43412.0)	(75.0, 34475.5)	(76.0, 25539.0)	(77.0, 20894.0)	(78.0, 16249.0)	(79.0, 15039.0)	(80.0, 13829.0)	(81.0, 12726.5)	(82.0, 11624.0)	(83.0, 9665.0)	(84.0, 7706.0)	(85.0, 6023.0)	(86.0, 4340.0)	(87.0, 3421.5)	(88.0, 2503.0)	(89.0, 2091.5)	(90.0, 1680.0)	(91.0, 1160.5)	(92.0, 641.0)	(93.0, 418.0)	(94.0, 195.0)	(95.0, 143.0)	(96.0, 91.0)	(97.0, 54.5)	(98.0, 18.0)	(99.0, 18.0)	(100.0, 18.0)
C-Ba-1_S54_L006_R1_001	(0.0, 7696.0)	(1.0, 11263.5)	(2.0, 14831.0)	(3.0, 8750.5)	(4.0, 2670.0)	(5.0, 2630.5)	(6.0, 2591.0)	(7.0, 3325.5)	(8.0, 4060.0)	(9.0, 4962.0)	(10.0, 5864.0)	(11.0, 8194.5)	(12.0, 10525.0)	(13.0, 12974.5)	(14.0, 15424.0)	(15.0, 21744.5)	(16.0, 28065.0)	(17.0, 29267.5)	(18.0, 30470.0)	(19.0, 24348.0)	(20.0, 18226.0)	(21.0, 23445.5)	(22.0, 28665.0)	(23.0, 36757.0)	(24.0, 44849.0)	(25.0, 56441.0)	(26.0, 68033.0)	(27.0, 86594.5)	(28.0, 105156.0)	(29.0, 129680.0)	(30.0, 154204.0)	(31.0, 178744.5)	(32.0, 203285.0)	(33.0, 242181.5)	(34.0, 281078.0)	(35.0, 329458.0)	(36.0, 377838.0)	(37.0, 398595.0)	(38.0, 419352.0)	(39.0, 484884.5)	(40.0, 550417.0)	(41.0, 617729.0)	(42.0, 685041.0)	(43.0, 726561.0)	(44.0, 768081.0)	(45.0, 809943.5)	(46.0, 851806.0)	(47.0, 877336.0)	(48.0, 902866.0)	(49.0, 927069.0)	(50.0, 951272.0)	(51.0, 956020.5)	(52.0, 960769.0)	(53.0, 946275.5)	(54.0, 931782.0)	(55.0, 882311.5)	(56.0, 832841.0)	(57.0, 766747.5)	(58.0, 700654.0)	(59.0, 634130.0)	(60.0, 567606.0)	(61.0, 499063.0)	(62.0, 430520.0)	(63.0, 368078.0)	(64.0, 305636.0)	(65.0, 254468.0)	(66.0, 203300.0)	(67.0, 174675.0)	(68.0, 146050.0)	(69.0, 120681.0)	(70.0, 95312.0)	(71.0, 78110.0)	(72.0, 60908.0)	(73.0, 51535.5)	(74.0, 42163.0)	(75.0, 33722.0)	(76.0, 25281.0)	(77.0, 20439.5)	(78.0, 15598.0)	(79.0, 14748.0)	(80.0, 13898.0)	(81.0, 12732.0)	(82.0, 11566.0)	(83.0, 9702.0)	(84.0, 7838.0)	(85.0, 6032.0)	(86.0, 4226.0)	(87.0, 3427.5)	(88.0, 2629.0)	(89.0, 2195.5)	(90.0, 1762.0)	(91.0, 1190.5)	(92.0, 619.0)	(93.0, 411.0)	(94.0, 203.0)	(95.0, 151.0)	(96.0, 99.0)	(97.0, 57.5)	(98.0, 16.0)	(99.0, 18.0)	(100.0, 20.0)
C-Ba-1_S54_L007_R1_001	(0.0, 7780.0)	(1.0, 11302.0)	(2.0, 14824.0)	(3.0, 8638.5)	(4.0, 2453.0)	(5.0, 2495.5)	(6.0, 2538.0)	(7.0, 3235.0)	(8.0, 3932.0)	(9.0, 4956.5)	(10.0, 5981.0)	(11.0, 8274.5)	(12.0, 10568.0)	(13.0, 12933.5)	(14.0, 15299.0)	(15.0, 21667.0)	(16.0, 28035.0)	(17.0, 29271.0)	(18.0, 30507.0)	(19.0, 24139.5)	(20.0, 17772.0)	(21.0, 23077.0)	(22.0, 28382.0)	(23.0, 36480.0)	(24.0, 44578.0)	(25.0, 55938.0)	(26.0, 67298.0)	(27.0, 85875.0)	(28.0, 104452.0)	(29.0, 129053.5)	(30.0, 153655.0)	(31.0, 176796.5)	(32.0, 199938.0)	(33.0, 238671.0)	(34.0, 277404.0)	(35.0, 324731.5)	(36.0, 372059.0)	(37.0, 391509.5)	(38.0, 410960.0)	(39.0, 476669.0)	(40.0, 542378.0)	(41.0, 608309.0)	(42.0, 674240.0)	(43.0, 716236.0)	(44.0, 758232.0)	(45.0, 796466.5)	(46.0, 834701.0)	(47.0, 861578.5)	(48.0, 888456.0)	(49.0, 911085.0)	(50.0, 933714.0)	(51.0, 938476.5)	(52.0, 943239.0)	(53.0, 928110.0)	(54.0, 912981.0)	(55.0, 865115.5)	(56.0, 817250.0)	(57.0, 753506.0)	(58.0, 689762.0)	(59.0, 623384.5)	(60.0, 557007.0)	(61.0, 488395.5)	(62.0, 419784.0)	(63.0, 359487.0)	(64.0, 299190.0)	(65.0, 249661.0)	(66.0, 200132.0)	(67.0, 170833.5)	(68.0, 141535.0)	(69.0, 116960.0)	(70.0, 92385.0)	(71.0, 75653.0)	(72.0, 58921.0)	(73.0, 50304.0)	(74.0, 41687.0)	(75.0, 33107.5)	(76.0, 24528.0)	(77.0, 19824.5)	(78.0, 15121.0)	(79.0, 14447.5)	(80.0, 13774.0)	(81.0, 12649.0)	(82.0, 11524.0)	(83.0, 9580.5)	(84.0, 7637.0)	(85.0, 5967.0)	(86.0, 4297.0)	(87.0, 3447.0)	(88.0, 2597.0)	(89.0, 2138.0)	(90.0, 1679.0)	(91.0, 1155.0)	(92.0, 631.0)	(93.0, 410.0)	(94.0, 189.0)	(95.0, 141.0)	(96.0, 93.0)	(97.0, 60.5)	(98.0, 28.0)	(99.0, 24.0)	(100.0, 20.0)
C-Ba-2_S55_L005_R1_001	(0.0, 15262.0)	(1.0, 15066.5)	(2.0, 14871.0)	(3.0, 8632.5)	(4.0, 2394.0)	(5.0, 2451.5)	(6.0, 2509.0)	(7.0, 3161.5)	(8.0, 3814.0)	(9.0, 4807.5)	(10.0, 5801.0)	(11.0, 7627.0)	(12.0, 9453.0)	(13.0, 11455.0)	(14.0, 13457.0)	(15.0, 19786.0)	(16.0, 26115.0)	(17.0, 26936.0)	(18.0, 27757.0)	(19.0, 22799.5)	(20.0, 17842.0)	(21.0, 23110.5)	(22.0, 28379.0)	(23.0, 36370.0)	(24.0, 44361.0)	(25.0, 56201.5)	(26.0, 68042.0)	(27.0, 87429.5)	(28.0, 106817.0)	(29.0, 131614.5)	(30.0, 156412.0)	(31.0, 180552.5)	(32.0, 204693.0)	(33.0, 242209.0)	(34.0, 279725.0)	(35.0, 328190.0)	(36.0, 376655.0)	(37.0, 399119.5)	(38.0, 421584.0)	(39.0, 485313.0)	(40.0, 549042.0)	(41.0, 616202.0)	(42.0, 683362.0)	(43.0, 728691.0)	(44.0, 774020.0)	(45.0, 815281.0)	(46.0, 856542.0)	(47.0, 885749.0)	(48.0, 914956.0)	(49.0, 943845.5)	(50.0, 972735.0)	(51.0, 973113.5)	(52.0, 973492.0)	(53.0, 954914.5)	(54.0, 936337.0)	(55.0, 892964.5)	(56.0, 849592.0)	(57.0, 785378.5)	(58.0, 721165.0)	(59.0, 654846.5)	(60.0, 588528.0)	(61.0, 519279.5)	(62.0, 450031.0)	(63.0, 384811.0)	(64.0, 319591.0)	(65.0, 267285.0)	(66.0, 214979.0)	(67.0, 183406.0)	(68.0, 151833.0)	(69.0, 127211.0)	(70.0, 102589.0)	(71.0, 83689.0)	(72.0, 64789.0)	(73.0, 57256.5)	(74.0, 49724.0)	(75.0, 38911.0)	(76.0, 28098.0)	(77.0, 22895.5)	(78.0, 17693.0)	(79.0, 17042.0)	(80.0, 16391.0)	(81.0, 15415.5)	(82.0, 14440.0)	(83.0, 12094.0)	(84.0, 9748.0)	(85.0, 7578.5)	(86.0, 5409.0)	(87.0, 4258.0)	(88.0, 3107.0)	(89.0, 2606.0)	(90.0, 2105.0)	(91.0, 1470.0)	(92.0, 835.0)	(93.0, 544.5)	(94.0, 254.0)	(95.0, 167.5)	(96.0, 81.0)	(97.0, 48.5)	(98.0, 16.0)	(99.0, 13.5)	(100.0, 11.0)
C-Ba-2_S55_L006_R1_001	(0.0, 15462.0)	(1.0, 14910.5)	(2.0, 14359.0)	(3.0, 8341.5)	(4.0, 2324.0)	(5.0, 2333.5)	(6.0, 2343.0)	(7.0, 3001.0)	(8.0, 3659.0)	(9.0, 4490.5)	(10.0, 5322.0)	(11.0, 7350.5)	(12.0, 9379.0)	(13.0, 11176.0)	(14.0, 12973.0)	(15.0, 19421.5)	(16.0, 25870.0)	(17.0, 26662.5)	(18.0, 27455.0)	(19.0, 22324.0)	(20.0, 17193.0)	(21.0, 22650.0)	(22.0, 28107.0)	(23.0, 35980.5)	(24.0, 43854.0)	(25.0, 55409.0)	(26.0, 66964.0)	(27.0, 86102.5)	(28.0, 105241.0)	(29.0, 129689.5)	(30.0, 154138.0)	(31.0, 178557.5)	(32.0, 202977.0)	(33.0, 240527.5)	(34.0, 278078.0)	(35.0, 324813.5)	(36.0, 371549.0)	(37.0, 394640.0)	(38.0, 417731.0)	(39.0, 481371.5)	(40.0, 545012.0)	(41.0, 610672.0)	(42.0, 676332.0)	(43.0, 719059.5)	(44.0, 761787.0)	(45.0, 805657.5)	(46.0, 849528.0)	(47.0, 877297.0)	(48.0, 905066.0)	(49.0, 935673.0)	(50.0, 966280.0)	(51.0, 963178.5)	(52.0, 960077.0)	(53.0, 942979.0)	(54.0, 925881.0)	(55.0, 883404.0)	(56.0, 840927.0)	(57.0, 775339.5)	(58.0, 709752.0)	(59.0, 645847.0)	(60.0, 581942.0)	(61.0, 512578.0)	(62.0, 443214.0)	(63.0, 379066.0)	(64.0, 314918.0)	(65.0, 262947.5)	(66.0, 210977.0)	(67.0, 180229.5)	(68.0, 149482.0)	(69.0, 125655.5)	(70.0, 101829.0)	(71.0, 83003.0)	(72.0, 64177.0)	(73.0, 56595.0)	(74.0, 49013.0)	(75.0, 38249.5)	(76.0, 27486.0)	(77.0, 22538.5)	(78.0, 17591.0)	(79.0, 16970.5)	(80.0, 16350.0)	(81.0, 15410.5)	(82.0, 14471.0)	(83.0, 11949.5)	(84.0, 9428.0)	(85.0, 7320.5)	(86.0, 5213.0)	(87.0, 4144.5)	(88.0, 3076.0)	(89.0, 2584.5)	(90.0, 2093.0)	(91.0, 1438.5)	(92.0, 784.0)	(93.0, 498.5)	(94.0, 213.0)	(95.0, 154.5)	(96.0, 96.0)	(97.0, 59.5)	(98.0, 23.0)	(99.0, 18.5)	(100.0, 14.0)
C-Ba-2_S55_L007_R1_001	(0.0, 15675.0)	(1.0, 15147.5)	(2.0, 14620.0)	(3.0, 8485.0)	(4.0, 2350.0)	(5.0, 2406.5)	(6.0, 2463.0)	(7.0, 3114.0)	(8.0, 3765.0)	(9.0, 4567.5)	(10.0, 5370.0)	(11.0, 7333.5)	(12.0, 9297.0)	(13.0, 11191.0)	(14.0, 13085.0)	(15.0, 19396.5)	(16.0, 25708.0)	(17.0, 26536.5)	(18.0, 27365.0)	(19.0, 21944.5)	(20.0, 16524.0)	(21.0, 22260.5)	(22.0, 27997.0)	(23.0, 35742.5)	(24.0, 43488.0)	(25.0, 54886.0)	(26.0, 66284.0)	(27.0, 85001.0)	(28.0, 103718.0)	(29.0, 128308.5)	(30.0, 152899.0)	(31.0, 176230.0)	(32.0, 199561.0)	(33.0, 235682.0)	(34.0, 271803.0)	(35.0, 319199.0)	(36.0, 366595.0)	(37.0, 389422.0)	(38.0, 412249.0)	(39.0, 473598.0)	(40.0, 534947.0)	(41.0, 599289.0)	(42.0, 663631.0)	(43.0, 706938.0)	(44.0, 750245.0)	(45.0, 791025.5)	(46.0, 831806.0)	(47.0, 860835.0)	(48.0, 889864.0)	(49.0, 918679.0)	(50.0, 947494.0)	(51.0, 944218.5)	(52.0, 940943.0)	(53.0, 924363.0)	(54.0, 907783.0)	(55.0, 865228.0)	(56.0, 822673.0)	(57.0, 759722.5)	(58.0, 696772.0)	(59.0, 632551.5)	(60.0, 568331.0)	(61.0, 500482.0)	(62.0, 432633.0)	(63.0, 370804.5)	(64.0, 308976.0)	(65.0, 257564.5)	(66.0, 206153.0)	(67.0, 176829.0)	(68.0, 147505.0)	(69.0, 123918.5)	(70.0, 100332.0)	(71.0, 81447.5)	(72.0, 62563.0)	(73.0, 55432.5)	(74.0, 48302.0)	(75.0, 37593.0)	(76.0, 26884.0)	(77.0, 21965.0)	(78.0, 17046.0)	(79.0, 16434.0)	(80.0, 15822.0)	(81.0, 15059.5)	(82.0, 14297.0)	(83.0, 11918.0)	(84.0, 9539.0)	(85.0, 7322.5)	(86.0, 5106.0)	(87.0, 4011.0)	(88.0, 2916.0)	(89.0, 2518.0)	(90.0, 2120.0)	(91.0, 1454.5)	(92.0, 789.0)	(93.0, 497.5)	(94.0, 206.0)	(95.0, 153.5)	(96.0, 101.0)	(97.0, 59.5)	(98.0, 18.0)	(99.0, 18.0)	(100.0, 18.0)
C-Ba-3_S56_L005_R1_001	(0.0, 7919.0)	(1.0, 12819.0)	(2.0, 17719.0)	(3.0, 10396.0)	(4.0, 3073.0)	(5.0, 3093.5)	(6.0, 3114.0)	(7.0, 4094.0)	(8.0, 5074.0)	(9.0, 6405.5)	(10.0, 7737.0)	(11.0, 10712.5)	(12.0, 13688.0)	(13.0, 16274.5)	(14.0, 18861.0)	(15.0, 25733.5)	(16.0, 32606.0)	(17.0, 32605.0)	(18.0, 32604.0)	(19.0, 26560.5)	(20.0, 20517.0)	(21.0, 26726.0)	(22.0, 32935.0)	(23.0, 42385.0)	(24.0, 51835.0)	(25.0, 64841.0)	(26.0, 77847.0)	(27.0, 100367.0)	(28.0, 122887.0)	(29.0, 151373.5)	(30.0, 179860.0)	(31.0, 208341.5)	(32.0, 236823.0)	(33.0, 277715.0)	(34.0, 318607.0)	(35.0, 372841.0)	(36.0, 427075.0)	(37.0, 446215.5)	(38.0, 465356.0)	(39.0, 532425.0)	(40.0, 599494.0)	(41.0, 663805.0)	(42.0, 728116.0)	(43.0, 766496.0)	(44.0, 804876.0)	(45.0, 843011.5)	(46.0, 881147.0)	(47.0, 908485.5)	(48.0, 935824.0)	(49.0, 951477.0)	(50.0, 967130.0)	(51.0, 977235.5)	(52.0, 987341.0)	(53.0, 961117.5)	(54.0, 934894.0)	(55.0, 890259.0)	(56.0, 845624.0)	(57.0, 778735.5)	(58.0, 711847.0)	(59.0, 645085.0)	(60.0, 578323.0)	(61.0, 508754.5)	(62.0, 439186.0)	(63.0, 375820.0)	(64.0, 312454.0)	(65.0, 260254.5)	(66.0, 208055.0)	(67.0, 179187.5)	(68.0, 150320.0)	(69.0, 124981.0)	(70.0, 99642.0)	(71.0, 81563.5)	(72.0, 63485.0)	(73.0, 54027.5)	(74.0, 44570.0)	(75.0, 34948.0)	(76.0, 25326.0)	(77.0, 20480.5)	(78.0, 15635.0)	(79.0, 15078.0)	(80.0, 14521.0)	(81.0, 13270.0)	(82.0, 12019.0)	(83.0, 9741.5)	(84.0, 7464.0)	(85.0, 5715.5)	(86.0, 3967.0)	(87.0, 3149.5)	(88.0, 2332.0)	(89.0, 1940.0)	(90.0, 1548.0)	(91.0, 1073.0)	(92.0, 598.0)	(93.0, 408.5)	(94.0, 219.0)	(95.0, 169.0)	(96.0, 119.0)	(97.0, 67.5)	(98.0, 16.0)	(99.0, 15.5)	(100.0, 15.0)
C-Ba-3_S56_L006_R1_001	(0.0, 7664.0)	(1.0, 12634.0)	(2.0, 17604.0)	(3.0, 10317.5)	(4.0, 3031.0)	(5.0, 3077.0)	(6.0, 3123.0)	(7.0, 4087.0)	(8.0, 5051.0)	(9.0, 6308.5)	(10.0, 7566.0)	(11.0, 10543.5)	(12.0, 13521.0)	(13.0, 15967.0)	(14.0, 18413.0)	(15.0, 25422.0)	(16.0, 32431.0)	(17.0, 32210.0)	(18.0, 31989.0)	(19.0, 26170.5)	(20.0, 20352.0)	(21.0, 26805.5)	(22.0, 33259.0)	(23.0, 42064.5)	(24.0, 50870.0)	(25.0, 63773.0)	(26.0, 76676.0)	(27.0, 98790.0)	(28.0, 120904.0)	(29.0, 149336.0)	(30.0, 177768.0)	(31.0, 206186.5)	(32.0, 234605.0)	(33.0, 275608.0)	(34.0, 316611.0)	(35.0, 369993.5)	(36.0, 423376.0)	(37.0, 443381.5)	(38.0, 463387.0)	(39.0, 528429.0)	(40.0, 593471.0)	(41.0, 655958.5)	(42.0, 718446.0)	(43.0, 758554.0)	(44.0, 798662.0)	(45.0, 835039.0)	(46.0, 871416.0)	(47.0, 899910.5)	(48.0, 928405.0)	(49.0, 942983.5)	(50.0, 957562.0)	(51.0, 967722.5)	(52.0, 977883.0)	(53.0, 950543.0)	(54.0, 923203.0)	(55.0, 877790.5)	(56.0, 832378.0)	(57.0, 768250.5)	(58.0, 704123.0)	(59.0, 637249.0)	(60.0, 570375.0)	(61.0, 502834.0)	(62.0, 435293.0)	(63.0, 372200.5)	(64.0, 309108.0)	(65.0, 257431.0)	(66.0, 205754.0)	(67.0, 177163.0)	(68.0, 148572.0)	(69.0, 123543.5)	(70.0, 98515.0)	(71.0, 80435.5)	(72.0, 62356.0)	(73.0, 53201.5)	(74.0, 44047.0)	(75.0, 34643.0)	(76.0, 25239.0)	(77.0, 20276.0)	(78.0, 15313.0)	(79.0, 14830.5)	(80.0, 14348.0)	(81.0, 12991.0)	(82.0, 11634.0)	(83.0, 9585.0)	(84.0, 7536.0)	(85.0, 5756.5)	(86.0, 3977.0)	(87.0, 3175.0)	(88.0, 2373.0)	(89.0, 1991.0)	(90.0, 1609.0)	(91.0, 1092.0)	(92.0, 575.0)	(93.0, 394.5)	(94.0, 214.0)	(95.0, 159.5)	(96.0, 105.0)	(97.0, 62.5)	(98.0, 20.0)	(99.0, 18.5)	(100.0, 17.0)
C-Ba-3_S56_L007_R1_001	(0.0, 7512.0)	(1.0, 12620.0)	(2.0, 17728.0)	(3.0, 10341.0)	(4.0, 2954.0)	(5.0, 3085.0)	(6.0, 3216.0)	(7.0, 4114.5)	(8.0, 5013.0)	(9.0, 6322.5)	(10.0, 7632.0)	(11.0, 10395.5)	(12.0, 13159.0)	(13.0, 15660.5)	(14.0, 18162.0)	(15.0, 25094.0)	(16.0, 32026.0)	(17.0, 32095.0)	(18.0, 32164.0)	(19.0, 26098.0)	(20.0, 20032.0)	(21.0, 26148.0)	(22.0, 32264.0)	(23.0, 41402.5)	(24.0, 50541.0)	(25.0, 63444.5)	(26.0, 76348.0)	(27.0, 97690.0)	(28.0, 119032.0)	(29.0, 147607.0)	(30.0, 176182.0)	(31.0, 203771.5)	(32.0, 231361.0)	(33.0, 271788.0)	(34.0, 312215.0)	(35.0, 364402.5)	(36.0, 416590.0)	(37.0, 435487.5)	(38.0, 454385.0)	(39.0, 519668.5)	(40.0, 584952.0)	(41.0, 646842.5)	(42.0, 708733.0)	(43.0, 747078.5)	(44.0, 785424.0)	(45.0, 820213.0)	(46.0, 855002.0)	(47.0, 881560.0)	(48.0, 908118.0)	(49.0, 924203.0)	(50.0, 940288.0)	(51.0, 949636.0)	(52.0, 958984.0)	(53.0, 932353.5)	(54.0, 905723.0)	(55.0, 862708.0)	(56.0, 819693.0)	(57.0, 754217.5)	(58.0, 688742.0)	(59.0, 624509.5)	(60.0, 560277.0)	(61.0, 492270.5)	(62.0, 424264.0)	(63.0, 363410.0)	(64.0, 302556.0)	(65.0, 251859.5)	(66.0, 201163.0)	(67.0, 173841.5)	(68.0, 146520.0)	(69.0, 121649.5)	(70.0, 96779.0)	(71.0, 79256.5)	(72.0, 61734.0)	(73.0, 52437.5)	(74.0, 43141.0)	(75.0, 34050.5)	(76.0, 24960.0)	(77.0, 20006.5)	(78.0, 15053.0)	(79.0, 14601.5)	(80.0, 14150.0)	(81.0, 12917.5)	(82.0, 11685.0)	(83.0, 9580.0)	(84.0, 7475.0)	(85.0, 5677.0)	(86.0, 3879.0)	(87.0, 3101.0)	(88.0, 2323.0)	(89.0, 1927.0)	(90.0, 1531.0)	(91.0, 1054.0)	(92.0, 577.0)	(93.0, 395.5)	(94.0, 214.0)	(95.0, 155.0)	(96.0, 96.0)	(97.0, 60.0)	(98.0, 24.0)	(99.0, 21.5)	(100.0, 19.0)
C-FLT-1_S60_L005_R1_001	(0.0, 6874.0)	(1.0, 10812.0)	(2.0, 14750.0)	(3.0, 8630.5)	(4.0, 2511.0)	(5.0, 2614.5)	(6.0, 2718.0)	(7.0, 3541.5)	(8.0, 4365.0)	(9.0, 5411.0)	(10.0, 6457.0)	(11.0, 8924.5)	(12.0, 11392.0)	(13.0, 13396.5)	(14.0, 15401.0)	(15.0, 22151.0)	(16.0, 28901.0)	(17.0, 30044.5)	(18.0, 31188.0)	(19.0, 25369.0)	(20.0, 19550.0)	(21.0, 25461.0)	(22.0, 31372.0)	(23.0, 39876.5)	(24.0, 48381.0)	(25.0, 61169.0)	(26.0, 73957.0)	(27.0, 94186.0)	(28.0, 114415.0)	(29.0, 139545.5)	(30.0, 164676.0)	(31.0, 188635.0)	(32.0, 212594.0)	(33.0, 249778.5)	(34.0, 286963.0)	(35.0, 334777.0)	(36.0, 382591.0)	(37.0, 406662.0)	(38.0, 430733.0)	(39.0, 494022.5)	(40.0, 557312.0)	(41.0, 617315.0)	(42.0, 677318.0)	(43.0, 716846.0)	(44.0, 756374.0)	(45.0, 795846.0)	(46.0, 835318.0)	(47.0, 865190.5)	(48.0, 895063.0)	(49.0, 918163.5)	(50.0, 941264.0)	(51.0, 943156.0)	(52.0, 945048.0)	(53.0, 935781.0)	(54.0, 926514.0)	(55.0, 870545.0)	(56.0, 814576.0)	(57.0, 749354.5)	(58.0, 684133.0)	(59.0, 620996.0)	(60.0, 557859.0)	(61.0, 491464.5)	(62.0, 425070.0)	(63.0, 363149.0)	(64.0, 301228.0)	(65.0, 251070.5)	(66.0, 200913.0)	(67.0, 172947.0)	(68.0, 144981.0)	(69.0, 125069.0)	(70.0, 105157.0)	(71.0, 87752.0)	(72.0, 70347.0)	(73.0, 67179.5)	(74.0, 64012.0)	(75.0, 48168.0)	(76.0, 32324.0)	(77.0, 26763.5)	(78.0, 21203.0)	(79.0, 22176.0)	(80.0, 23149.0)	(81.0, 23323.5)	(82.0, 23498.0)	(83.0, 19448.0)	(84.0, 15398.0)	(85.0, 11740.5)	(86.0, 8083.0)	(87.0, 6332.0)	(88.0, 4581.0)	(89.0, 4037.5)	(90.0, 3494.0)	(91.0, 2368.5)	(92.0, 1243.0)	(93.0, 747.0)	(94.0, 251.0)	(95.0, 173.0)	(96.0, 95.0)	(97.0, 62.0)	(98.0, 29.0)	(99.0, 21.0)	(100.0, 13.0)
