Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
C-Ba-1_S54_L005_R1_001	(11.0, 3.0)	(12.0, 9.0)	(13.0, 15.0)	(14.0, 23.0)	(15.0, 36.0)	(16.0, 30.0)	(17.0, 46.0)	(18.0, 66.0)	(19.0, 93.0)	(20.0, 161.0)	(21.0, 264.0)	(22.0, 468.0)	(23.0, 765.0)	(24.0, 1377.0)	(25.0, 2313.0)	(26.0, 3969.0)	(27.0, 6728.0)	(28.0, 10750.0)	(29.0, 16933.0)	(30.0, 25516.0)	(31.0, 37666.0)	(32.0, 53273.0)	(33.0, 74367.0)	(34.0, 101997.0)	(35.0, 140276.0)	(36.0, 191971.0)	(37.0, 271855.0)	(38.0, 416786.0)	(39.0, 788299.0)	(40.0, 2816284.0)	(41.0, 7104808.0)		
C-Ba-1_S54_L006_R1_001	(11.0, 4.0)	(12.0, 9.0)	(13.0, 19.0)	(14.0, 14.0)	(15.0, 33.0)	(16.0, 40.0)	(17.0, 43.0)	(18.0, 70.0)	(19.0, 118.0)	(20.0, 181.0)	(21.0, 339.0)	(22.0, 556.0)	(23.0, 973.0)	(24.0, 1522.0)	(25.0, 2637.0)	(26.0, 4281.0)	(27.0, 6919.0)	(28.0, 10789.0)	(29.0, 16691.0)	(30.0, 24359.0)	(31.0, 35974.0)	(32.0, 50429.0)	(33.0, 70684.0)	(34.0, 97288.0)	(35.0, 133800.0)	(36.0, 185580.0)	(37.0, 265718.0)	(38.0, 414357.0)	(39.0, 810534.0)	(40.0, 2827998.0)	(41.0, 6931702.0)		
C-Ba-1_S54_L007_R1_001	(10.0, 1.0)	(11.0, 5.0)	(12.0, 7.0)	(13.0, 10.0)	(14.0, 14.0)	(15.0, 19.0)	(16.0, 29.0)	(17.0, 46.0)	(18.0, 71.0)	(19.0, 113.0)	(20.0, 194.0)	(21.0, 335.0)	(22.0, 606.0)	(23.0, 1008.0)	(24.0, 1693.0)	(25.0, 2695.0)	(26.0, 4347.0)	(27.0, 7156.0)	(28.0, 10792.0)	(29.0, 16532.0)	(30.0, 24509.0)	(31.0, 35366.0)	(32.0, 49936.0)	(33.0, 69997.0)	(34.0, 96802.0)	(35.0, 132614.0)	(36.0, 183189.0)	(37.0, 262888.0)	(38.0, 406513.0)	(39.0, 769318.0)	(40.0, 2673343.0)	(41.0, 6935979.0)	
C-Ba-2_S55_L005_R1_001	(11.0, 5.0)	(12.0, 9.0)	(13.0, 18.0)	(14.0, 30.0)	(15.0, 29.0)	(16.0, 36.0)	(17.0, 50.0)	(18.0, 75.0)	(19.0, 104.0)	(20.0, 170.0)	(21.0, 270.0)	(22.0, 470.0)	(23.0, 808.0)	(24.0, 1360.0)	(25.0, 2437.0)	(26.0, 4041.0)	(27.0, 6800.0)	(28.0, 11101.0)	(29.0, 17309.0)	(30.0, 26040.0)	(31.0, 37507.0)	(32.0, 53648.0)	(33.0, 74683.0)	(34.0, 103958.0)	(35.0, 140540.0)	(36.0, 193043.0)	(37.0, 274601.0)	(38.0, 424741.0)	(39.0, 807777.0)	(40.0, 2877001.0)	(41.0, 7038777.0)		
C-Ba-2_S55_L006_R1_001	(10.0, 1.0)	(11.0, 4.0)	(12.0, 12.0)	(13.0, 22.0)	(14.0, 24.0)	(15.0, 33.0)	(16.0, 40.0)	(17.0, 55.0)	(18.0, 75.0)	(19.0, 101.0)	(20.0, 189.0)	(21.0, 320.0)	(22.0, 576.0)	(23.0, 950.0)	(24.0, 1559.0)	(25.0, 2757.0)	(26.0, 4310.0)	(27.0, 7078.0)	(28.0, 11300.0)	(29.0, 17055.0)	(30.0, 25409.0)	(31.0, 36126.0)	(32.0, 51215.0)	(33.0, 71588.0)	(34.0, 99344.0)	(35.0, 135545.0)	(36.0, 188075.0)	(37.0, 269377.0)	(38.0, 422388.0)	(39.0, 829897.0)	(40.0, 2885668.0)	(41.0, 6896917.0)	
C-Ba-2_S55_L007_R1_001	(11.0, 5.0)	(12.0, 6.0)	(13.0, 11.0)	(14.0, 21.0)	(15.0, 22.0)	(16.0, 33.0)	(17.0, 40.0)	(18.0, 77.0)	(19.0, 114.0)	(20.0, 222.0)	(21.0, 363.0)	(22.0, 553.0)	(23.0, 1073.0)	(24.0, 1707.0)	(25.0, 2834.0)	(26.0, 4547.0)	(27.0, 7058.0)	(28.0, 11088.0)	(29.0, 16907.0)	(30.0, 24722.0)	(31.0, 35989.0)	(32.0, 50526.0)	(33.0, 70557.0)	(34.0, 97856.0)	(35.0, 132721.0)	(36.0, 185328.0)	(37.0, 265714.0)	(38.0, 413951.0)	(39.0, 786678.0)	(40.0, 2727078.0)	(41.0, 6898830.0)		
C-Ba-3_S56_L005_R1_001	(11.0, 1.0)	(12.0, 4.0)	(13.0, 10.0)	(14.0, 23.0)	(15.0, 27.0)	(16.0, 27.0)	(17.0, 52.0)	(18.0, 60.0)	(19.0, 105.0)	(20.0, 155.0)	(21.0, 310.0)	(22.0, 497.0)	(23.0, 822.0)	(24.0, 1438.0)	(25.0, 2439.0)	(26.0, 4348.0)	(27.0, 6980.0)	(28.0, 11436.0)	(29.0, 17877.0)	(30.0, 26723.0)	(31.0, 38572.0)	(32.0, 55211.0)	(33.0, 77483.0)	(34.0, 107068.0)	(35.0, 145808.0)	(36.0, 200309.0)	(37.0, 284797.0)	(38.0, 438310.0)	(39.0, 830824.0)	(40.0, 2945711.0)	(41.0, 7254817.0)		
C-Ba-3_S56_L006_R1_001	(11.0, 3.0)	(12.0, 6.0)	(13.0, 15.0)	(14.0, 16.0)	(15.0, 20.0)	(16.0, 34.0)	(17.0, 45.0)	(18.0, 73.0)	(19.0, 106.0)	(20.0, 206.0)	(21.0, 346.0)	(22.0, 537.0)	(23.0, 973.0)	(24.0, 1743.0)	(25.0, 2767.0)	(26.0, 4556.0)	(27.0, 7426.0)	(28.0, 11606.0)	(29.0, 17629.0)	(30.0, 26052.0)	(31.0, 37433.0)	(32.0, 53005.0)	(33.0, 74556.0)	(34.0, 102681.0)	(35.0, 141552.0)	(36.0, 195084.0)	(37.0, 279635.0)	(38.0, 437033.0)	(39.0, 856096.0)	(40.0, 2963690.0)	(41.0, 7105806.0)		
C-Ba-3_S56_L007_R1_001	(11.0, 2.0)	(12.0, 7.0)	(13.0, 8.0)	(14.0, 16.0)	(15.0, 28.0)	(16.0, 28.0)	(17.0, 52.0)	(18.0, 69.0)	(19.0, 110.0)	(20.0, 248.0)	(21.0, 345.0)	(22.0, 623.0)	(23.0, 1135.0)	(24.0, 1734.0)	(25.0, 2942.0)	(26.0, 4757.0)	(27.0, 7538.0)	(28.0, 11615.0)	(29.0, 17434.0)	(30.0, 26198.0)	(31.0, 36983.0)	(32.0, 52549.0)	(33.0, 74227.0)	(34.0, 102432.0)	(35.0, 139540.0)	(36.0, 194558.0)	(37.0, 277843.0)	(38.0, 431460.0)	(39.0, 814983.0)	(40.0, 2805753.0)	(41.0, 7097378.0)		
C-FLT-1_S60_L005_R1_001	(10.0, 2.0)	(11.0, 10.0)	(12.0, 8.0)	(13.0, 15.0)	(14.0, 18.0)	(15.0, 30.0)	(16.0, 44.0)	(17.0, 51.0)	(18.0, 57.0)	(19.0, 109.0)	(20.0, 189.0)	(21.0, 324.0)	(22.0, 526.0)	(23.0, 882.0)	(24.0, 1527.0)	(25.0, 2522.0)	(26.0, 4249.0)	(27.0, 6981.0)	(28.0, 11289.0)	(29.0, 17341.0)	(30.0, 25604.0)	(31.0, 37411.0)	(32.0, 53263.0)	(33.0, 74710.0)	(34.0, 103121.0)	(35.0, 141150.0)	(36.0, 193410.0)	(37.0, 275657.0)	(38.0, 421099.0)	(39.0, 806274.0)	(40.0, 2854994.0)	(41.0, 6892770.0)	
C-FLT-1_S60_L006_R1_001	(11.0, 3.0)	(12.0, 13.0)	(13.0, 17.0)	(14.0, 20.0)	(15.0, 28.0)	(16.0, 27.0)	(17.0, 54.0)	(18.0, 71.0)	(19.0, 139.0)	(20.0, 202.0)	(21.0, 314.0)	(22.0, 601.0)	(23.0, 948.0)	(24.0, 1677.0)	(25.0, 2727.0)	(26.0, 4408.0)	(27.0, 7040.0)	(28.0, 10985.0)	(29.0, 16924.0)	(30.0, 25083.0)	(31.0, 35923.0)	(32.0, 50852.0)	(33.0, 71559.0)	(34.0, 98526.0)	(35.0, 135075.0)	(36.0, 186613.0)	(37.0, 267124.0)	(38.0, 419886.0)	(39.0, 823734.0)	(40.0, 2862954.0)	(41.0, 6745866.0)		
C-FLT-1_S60_L007_R1_001	(10.0, 1.0)	(11.0, 6.0)	(12.0, 7.0)	(13.0, 8.0)	(14.0, 17.0)	(15.0, 30.0)	(16.0, 37.0)	(17.0, 43.0)	(18.0, 71.0)	(19.0, 104.0)	(20.0, 219.0)	(21.0, 389.0)	(22.0, 622.0)	(23.0, 1048.0)	(24.0, 1714.0)	(25.0, 2783.0)	(26.0, 4609.0)	(27.0, 7102.0)	(28.0, 11017.0)	(29.0, 16930.0)	(30.0, 24787.0)	(31.0, 35085.0)	(32.0, 49559.0)	(33.0, 69964.0)	(34.0, 96994.0)	(35.0, 133006.0)	(36.0, 184207.0)	(37.0, 264111.0)	(38.0, 409106.0)	(39.0, 781228.0)	(40.0, 2696110.0)	(41.0, 6736662.0)	
C-FLT-2_S61_L005_R1_001	(11.0, 6.0)	(12.0, 9.0)	(13.0, 16.0)	(14.0, 27.0)	(15.0, 34.0)	(16.0, 39.0)	(17.0, 36.0)	(18.0, 77.0)	(19.0, 101.0)	(20.0, 188.0)	(21.0, 280.0)	(22.0, 442.0)	(23.0, 762.0)	(24.0, 1431.0)	(25.0, 2415.0)	(26.0, 4175.0)	(27.0, 6821.0)	(28.0, 10938.0)	(29.0, 17134.0)	(30.0, 25789.0)	(31.0, 37609.0)	(32.0, 53802.0)	(33.0, 74786.0)	(34.0, 103792.0)	(35.0, 142068.0)	(36.0, 195759.0)	(37.0, 275222.0)	(38.0, 425824.0)	(39.0, 808289.0)	(40.0, 2874985.0)	(41.0, 6822941.0)		
C-FLT-2_S61_L006_R1_001	(10.0, 1.0)	(11.0, 4.0)	(12.0, 11.0)	(13.0, 16.0)	(14.0, 20.0)	(15.0, 36.0)	(16.0, 54.0)	(17.0, 47.0)	(18.0, 69.0)	(19.0, 127.0)	(20.0, 211.0)	(21.0, 324.0)	(22.0, 539.0)	(23.0, 978.0)	(24.0, 1596.0)	(25.0, 2717.0)	(26.0, 4351.0)	(27.0, 7128.0)	(28.0, 11125.0)	(29.0, 17275.0)	(30.0, 25570.0)	(31.0, 36343.0)	(32.0, 51470.0)	(33.0, 72580.0)	(34.0, 99668.0)	(35.0, 137897.0)	(36.0, 190284.0)	(37.0, 273645.0)	(38.0, 427530.0)	(39.0, 836030.0)	(40.0, 2890564.0)	(41.0, 6705388.0)	
C-FLT-2_S61_L007_R1_001	(11.0, 2.0)	(12.0, 8.0)	(13.0, 12.0)	(14.0, 16.0)	(15.0, 25.0)	(16.0, 25.0)	(17.0, 41.0)	(18.0, 74.0)	(19.0, 116.0)	(20.0, 197.0)	(21.0, 367.0)	(22.0, 554.0)	(23.0, 1009.0)	(24.0, 1624.0)	(25.0, 2872.0)	(26.0, 4579.0)	(27.0, 7258.0)	(28.0, 11305.0)	(29.0, 16991.0)	(30.0, 24965.0)	(31.0, 35982.0)	(32.0, 50925.0)	(33.0, 71306.0)	(34.0, 98919.0)	(35.0, 136232.0)	(36.0, 188654.0)	(37.0, 270194.0)	(38.0, 419481.0)	(39.0, 794438.0)	(40.0, 2735934.0)	(41.0, 6701469.0)		
C-FLT-4_S62_L005_R1_001	(11.0, 6.0)	(12.0, 17.0)	(13.0, 23.0)	(14.0, 28.0)	(15.0, 33.0)	(16.0, 40.0)	(17.0, 58.0)	(18.0, 95.0)	(19.0, 117.0)	(20.0, 185.0)	(21.0, 296.0)	(22.0, 500.0)	(23.0, 829.0)	(24.0, 1556.0)	(25.0, 2624.0)	(26.0, 4508.0)	(27.0, 7484.0)	(28.0, 12243.0)	(29.0, 19318.0)	(30.0, 28953.0)	(31.0, 42109.0)	(32.0, 60154.0)	(33.0, 84426.0)	(34.0, 116654.0)	(35.0, 159188.0)	(36.0, 217279.0)	(37.0, 307315.0)	(38.0, 470668.0)	(39.0, 886454.0)	(40.0, 3172403.0)	(41.0, 8373647.0)		
C-FLT-4_S62_L006_R1_001	(10.0, 1.0)	(11.0, 4.0)	(12.0, 11.0)	(13.0, 19.0)	(14.0, 29.0)	(15.0, 35.0)	(16.0, 40.0)	(17.0, 61.0)	(18.0, 62.0)	(19.0, 119.0)	(20.0, 224.0)	(21.0, 364.0)	(22.0, 624.0)	(23.0, 1016.0)	(24.0, 1772.0)	(25.0, 2944.0)	(26.0, 4790.0)	(27.0, 7758.0)	(28.0, 12341.0)	(29.0, 18686.0)	(30.0, 28182.0)	(31.0, 40541.0)	(32.0, 57546.0)	(33.0, 80003.0)	(34.0, 111284.0)	(35.0, 152266.0)	(36.0, 209237.0)	(37.0, 301251.0)	(38.0, 469577.0)	(39.0, 911863.0)	(40.0, 3195366.0)	(41.0, 8162746.0)	
C-FLT-4_S62_L007_R1_001	(10.0, 1.0)	(11.0, 3.0)	(12.0, 13.0)	(13.0, 12.0)	(14.0, 18.0)	(15.0, 14.0)	(16.0, 23.0)	(17.0, 53.0)	(18.0, 75.0)	(19.0, 141.0)	(20.0, 232.0)	(21.0, 368.0)	(22.0, 676.0)	(23.0, 1097.0)	(24.0, 1848.0)	(25.0, 2974.0)	(26.0, 4935.0)	(27.0, 7831.0)	(28.0, 12196.0)	(29.0, 18918.0)	(30.0, 27760.0)	(31.0, 39847.0)	(32.0, 56277.0)	(33.0, 78832.0)	(34.0, 110033.0)	(35.0, 150911.0)	(36.0, 209051.0)	(37.0, 297817.0)	(38.0, 461269.0)	(39.0, 868171.0)	(40.0, 3023778.0)	(41.0, 8162555.0)	
C-GC-2_S57_L005_R1_001	(12.0, 11.0)	(13.0, 14.0)	(14.0, 11.0)	(15.0, 26.0)	(16.0, 34.0)	(17.0, 44.0)	(18.0, 69.0)	(19.0, 111.0)	(20.0, 166.0)	(21.0, 322.0)	(22.0, 549.0)	(23.0, 905.0)	(24.0, 1658.0)	(25.0, 2527.0)	(26.0, 4488.0)	(27.0, 7417.0)	(28.0, 11930.0)	(29.0, 18789.0)	(30.0, 27773.0)	(31.0, 40690.0)	(32.0, 58081.0)	(33.0, 81399.0)	(34.0, 111235.0)	(35.0, 152991.0)	(36.0, 209661.0)	(37.0, 296348.0)	(38.0, 457178.0)	(39.0, 869810.0)	(40.0, 3087288.0)	(41.0, 7277834.0)			
C-GC-2_S57_L006_R1_001	(11.0, 1.0)	(12.0, 4.0)	(13.0, 4.0)	(14.0, 13.0)	(15.0, 27.0)	(16.0, 27.0)	(17.0, 46.0)	(18.0, 75.0)	(19.0, 111.0)	(20.0, 207.0)	(21.0, 387.0)	(22.0, 626.0)	(23.0, 1100.0)	(24.0, 1770.0)	(25.0, 2881.0)	(26.0, 4832.0)	(27.0, 7897.0)	(28.0, 12234.0)	(29.0, 18834.0)	(30.0, 27552.0)	(31.0, 39285.0)	(32.0, 56436.0)	(33.0, 78508.0)	(34.0, 107761.0)	(35.0, 148143.0)	(36.0, 204391.0)	(37.0, 294677.0)	(38.0, 459271.0)	(39.0, 900645.0)	(40.0, 3103841.0)	(41.0, 7130581.0)		
C-GC-2_S57_L007_R1_001	(12.0, 9.0)	(13.0, 6.0)	(14.0, 12.0)	(15.0, 18.0)	(16.0, 23.0)	(17.0, 40.0)	(18.0, 78.0)	(19.0, 134.0)	(20.0, 227.0)	(21.0, 406.0)	(22.0, 705.0)	(23.0, 1157.0)	(24.0, 1877.0)	(25.0, 3074.0)	(26.0, 5042.0)	(27.0, 7988.0)	(28.0, 12344.0)	(29.0, 18555.0)	(30.0, 27236.0)	(31.0, 39456.0)	(32.0, 55457.0)	(33.0, 77482.0)	(34.0, 107611.0)	(35.0, 146730.0)	(36.0, 203881.0)	(37.0, 291314.0)	(38.0, 450541.0)	(39.0, 856186.0)	(40.0, 2943775.0)	(41.0, 7128216.0)			
C-GC-3_S58_L005_R1_001	(10.0, 1.0)	(11.0, 9.0)	(12.0, 15.0)	(13.0, 19.0)	(14.0, 35.0)	(15.0, 39.0)	(16.0, 36.0)	(17.0, 57.0)	(18.0, 69.0)	(19.0, 98.0)	(20.0, 184.0)	(21.0, 322.0)	(22.0, 516.0)	(23.0, 877.0)	(24.0, 1502.0)	(25.0, 2617.0)	(26.0, 4336.0)	(27.0, 7272.0)	(28.0, 11544.0)	(29.0, 17992.0)	(30.0, 27676.0)	(31.0, 39605.0)	(32.0, 56412.0)	(33.0, 79466.0)	(34.0, 109632.0)	(35.0, 149369.0)	(36.0, 205115.0)	(37.0, 292453.0)	(38.0, 448682.0)	(39.0, 857445.0)	(40.0, 3056366.0)	(41.0, 7381596.0)	
C-GC-3_S58_L006_R1_001	(11.0, 4.0)	(12.0, 16.0)	(13.0, 15.0)	(14.0, 21.0)	(15.0, 22.0)	(16.0, 41.0)	(17.0, 65.0)	(18.0, 68.0)	(19.0, 129.0)	(20.0, 191.0)	(21.0, 379.0)	(22.0, 617.0)	(23.0, 1011.0)	(24.0, 1711.0)	(25.0, 2981.0)	(26.0, 4663.0)	(27.0, 7649.0)	(28.0, 11883.0)	(29.0, 18125.0)	(30.0, 26550.0)	(31.0, 38477.0)	(32.0, 54271.0)	(33.0, 75631.0)	(34.0, 104580.0)	(35.0, 143942.0)	(36.0, 198437.0)	(37.0, 285434.0)	(38.0, 448775.0)	(39.0, 883447.0)	(40.0, 3072747.0)	(41.0, 7240798.0)		
