Sample	Unique Reads	Duplicate Reads
C-Ba-1_S54_L005_R1_001	3908221.0	8158926.0
C-Ba-1_S54_L006_R1_001	3894483.0	7999178.0
C-Ba-1_S54_L007_R1_001	3859125.0	7827002.0
C-Ba-2_S55_L005_R1_001	4099820.0	7997618.0
C-Ba-2_S55_L006_R1_001	4078158.0	7879852.0
C-Ba-2_S55_L007_R1_001	4090090.0	7646541.0
C-Ba-3_S56_L005_R1_001	3786610.0	8665634.0
C-Ba-3_S56_L006_R1_001	3775275.0	8545455.0
C-Ba-3_S56_L007_R1_001	3761039.0	8341556.0
C-FLT-1_S60_L005_R1_001	3913057.0	8012580.0
C-FLT-1_S60_L006_R1_001	3893725.0	7875668.0
C-FLT-1_S60_L007_R1_001	3835413.0	7692163.0
C-FLT-2_S61_L005_R1_001	3853289.0	8032508.0
C-FLT-2_S61_L006_R1_001	3875345.0	7918253.0
C-FLT-2_S61_L007_R1_001	3837059.0	7738515.0
C-FLT-4_S62_L005_R1_001	4151342.0	9817868.0
C-FLT-4_S62_L006_R1_001	4095475.0	9675287.0
C-FLT-4_S62_L007_R1_001	4110032.0	9427697.0
C-GC-2_S57_L005_R1_001	4068950.0	8650409.0
C-GC-2_S57_L006_R1_001	4079463.0	8522704.0
C-GC-2_S57_L007_R1_001	4070274.0	8309306.0
C-GC-3_S58_L005_R1_001	4101178.0	8650179.0
C-GC-3_S58_L006_R1_001	4085285.0	8537395.0
C-GC-3_S58_L007_R1_001	4056361.0	8314236.0
C-GC-5_S59_L005_R1_001	4365443.0	8184884.0
C-GC-5_S59_L006_R1_001	4353891.0	8070854.0
C-GC-5_S59_L007_R1_001	4327475.0	7835463.0
