Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
C-Ba-1_S54_L005_R1_001	(1.0, 22.09014145564382)	(2.0, 10.219426333644035)	(3.0, 5.608144547110873)	(4.0, 3.5915397603333323)	(5.0, 2.674555818694268)	(6.0, 2.0043532157031367)	(7.0, 1.5951072340425607)	(8.0, 1.3783894394320235)	(9.0, 1.1850099004260737)	('>10', 16.27269937860802)	('>50', 6.121291499284341)	('>100', 13.629474127485159)	('>500', 4.756057395064367)	('>1k', 6.600299778032317)	('>5k', 1.409943903650458)	('>10k+', 0.8635662128452921)
C-Ba-1_S54_L006_R1_001	(1.0, 22.453245006266197)	(2.0, 10.207488132858547)	(3.0, 5.605245590191174)	(4.0, 3.6785698853949276)	(5.0, 2.5582172271664376)	(6.0, 1.9986158618006984)	(7.0, 1.62108436703691)	(8.0, 1.3908709485622068)	(9.0, 1.1892748342640065)	('>10', 16.313471612221704)	('>50', 6.060830819884854)	('>100', 13.635761379740135)	('>500', 4.655618410768285)	('>1k', 6.5590115010637255)	('>5k', 1.2114723592925403)	('>10k+', 0.8612220634875992)
C-Ba-1_S54_L007_R1_001	(1.0, 22.85897644476964)	(2.0, 10.016891464413478)	(3.0, 5.648920774240667)	(4.0, 3.556071963518981)	(5.0, 2.4952658429360133)	(6.0, 1.9690507429243491)	(7.0, 1.6050640184760552)	(8.0, 1.3850352995366288)	(9.0, 1.2140301965020326)	('>10', 16.301145929341235)	('>50', 6.194027473402447)	('>100', 13.484381446082969)	('>500', 4.735431433277961)	('>1k', 6.407186309578982)	('>5k', 1.2587213559075878)	('>10k+', 0.8697993050909932)
C-Ba-2_S55_L005_R1_001	(1.0, 23.34079571961143)	(2.0, 10.516321005306683)	(3.0, 5.79024425245118)	(4.0, 3.649932392373244)	(5.0, 2.6548138305786932)	(6.0, 2.1076009368813544)	(7.0, 1.6627479662015363)	(8.0, 1.413604549325232)	(9.0, 1.1881335726292293)	('>10', 16.312624061097733)	('>50', 5.999185919583323)	('>100', 13.218146998777474)	('>500', 4.592624839538327)	('>1k', 6.000443819994063)	('>5k', 0.7173436197451839)	('>10k+', 0.8354365159051836)
C-Ba-2_S55_L006_R1_001	(1.0, 23.40553617578435)	(2.0, 10.651802169174603)	(3.0, 5.885429102666054)	(4.0, 3.7671141836490687)	(5.0, 2.734147715525259)	(6.0, 2.0937935319294323)	(7.0, 1.7071112531230777)	(8.0, 1.4298414788260165)	(9.0, 1.230780988724019)	('>10', 16.290693350452294)	('>50', 5.8132803832693325)	('>100', 13.089248718145404)	('>500', 4.477834123285194)	('>1k', 5.9590605195030335)	('>5k', 0.614335526488145)	('>10k+', 0.8499907794546444)
C-Ba-2_S55_L007_R1_001	(1.0, 24.369660464568135)	(2.0, 10.502008212896188)	(3.0, 5.706934784952473)	(4.0, 3.584720065621158)	(5.0, 2.6378231453272694)	(6.0, 2.0928044785240947)	(7.0, 1.6420971733815994)	(8.0, 1.4357015084898934)	(9.0, 1.2313417751018694)	('>10', 16.032388320848483)	('>50', 5.921957032138315)	('>100', 13.078316358766633)	('>500', 4.516062280255443)	('>1k', 5.823711504754734)	('>5k', 0.5618634157075364)	('>10k+', 0.862609478666095)
C-Ba-3_S56_L005_R1_001	(1.0, 20.56550133953923)	(2.0, 9.474944101537847)	(3.0, 5.446722590983902)	(4.0, 3.486432676134804)	(5.0, 2.5021390276378224)	(6.0, 2.0245591114494985)	(7.0, 1.6097129784699966)	(8.0, 1.395049125878144)	(9.0, 1.2128876328550795)	('>10', 16.684831736124124)	('>50', 6.3420590025482655)	('>100', 14.147066054616786)	('>500', 5.5104294614848595)	('>1k', 7.530050523048907)	('>5k', 1.0530366262560251)	('>10k+', 1.0145780114345626)
C-Ba-3_S56_L006_R1_001	(1.0, 20.645242944268052)	(2.0, 9.680529825004497)	(3.0, 5.536379557421755)	(4.0, 3.569195218073038)	(5.0, 2.5187293437055502)	(6.0, 2.022188933924827)	(7.0, 1.6285070839475553)	(8.0, 1.3630891299244292)	(9.0, 1.2383751074393023)	('>10', 16.614223787406907)	('>50', 6.251722007175115)	('>100', 14.028250063271116)	('>500', 5.553143826422332)	('>1k', 7.323986901213549)	('>5k', 1.0057096964468348)	('>10k+', 1.0207265743551237)
C-Ba-3_S56_L007_R1_001	(1.0, 21.172725517116344)	(2.0, 9.628214403182103)	(3.0, 5.3272353802886325)	(4.0, 3.529125022247291)	(5.0, 2.598300573104423)	(6.0, 1.9753781183948973)	(7.0, 1.672610760845596)	(8.0, 1.3883370518166815)	(9.0, 1.2253402556628399)	('>10', 16.481313661172937)	('>50', 6.298516123630766)	('>100', 13.9642650167399)	('>500', 5.495760130081781)	('>1k', 7.207716667227055)	('>5k', 1.0124843575483733)	('>10k+', 1.0226769609404145)
C-FLT-1_S60_L005_R1_001	(1.0, 22.70825323077338)	(2.0, 10.048984470345264)	(3.0, 5.575950560914997)	(4.0, 3.5330499205530974)	(5.0, 2.601316477159482)	(6.0, 1.9752645439881515)	(7.0, 1.5659407177084503)	(8.0, 1.2918076113912937)	(9.0, 1.1487339127141476)	('>10', 15.488489055559826)	('>50', 5.939784084997522)	('>100', 13.87298197654389)	('>500', 5.17118770696131)	('>1k', 7.410858065599434)	('>5k', 0.7620105799895832)	('>10k+', 0.9053870848000921)
