Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
C-Ba-1_S54_L005_R1_001	67.61272470958221	49.0	50.0	50	18.181818181818183	12.067147
C-Ba-1_S54_L006_R1_001	67.2558114850074	49.0	50.0	50	27.27272727272727	11.893661
C-Ba-1_S54_L007_R1_001	66.97687663910459	49.0	50.0	50	18.181818181818183	11.686126999999999
C-Ba-2_S55_L005_R1_001	66.11001634044031	49.0	50.0	50	18.181818181818183	12.097437999999999
C-Ba-2_S55_L006_R1_001	65.89602242660871	49.0	50.0	50	27.27272727272727	11.95801
C-Ba-2_S55_L007_R1_001	65.15107950357836	49.0	50.0	50	18.181818181818183	11.736631
C-Ba-3_S56_L005_R1_001	69.59094374772114	48.0	50.0	50	18.181818181818183	12.452244
C-Ba-3_S56_L006_R1_001	69.3583511014711	48.0	50.0	50	27.27272727272727	12.32073
C-Ba-3_S56_L007_R1_001	68.9237017129671	48.0	50.0	50	18.181818181818183	12.102594999999999
C-FLT-1_S60_L005_R1_001	67.1878628543655	49.0	50.0	50	18.181818181818183	11.925637
C-FLT-1_S60_L006_R1_001	66.9165262787018	49.0	50.0	50	27.27272727272727	11.769392999999999
C-FLT-1_S60_L007_R1_001	66.72837158267191	49.0	50.0	50	18.181818181818183	11.527576
C-FLT-2_S61_L005_R1_001	67.58072855127116	48.0	50.0	50	18.181818181818183	11.885797
C-FLT-2_S61_L006_R1_001	67.14027054979749	48.0	50.0	50	27.27272727272727	11.793598
C-FLT-2_S61_L007_R1_001	66.8521092228072	48.0	50.0	50	18.181818181818183	11.575574
C-FLT-4_S62_L005_R1_001	70.28220027171147	48.0	50.0	50	18.181818181818183	13.969209999999999
C-FLT-4_S62_L006_R1_001	70.25963634757903	48.0	50.0	50	27.27272727272727	13.770762
C-FLT-4_S62_L007_R1_001	69.64017046804457	48.0	50.0	50	18.181818181818183	13.537728999999999
C-GC-2_S57_L005_R1_001	68.00979351265664	49.0	50.0	50	18.181818181818183	12.719358999999999
C-GC-2_S57_L006_R1_001	67.62888256312073	49.0	50.0	50	27.27272727272727	12.602167
C-GC-2_S57_L007_R1_001	67.12106553854557	49.0	50.0	50	18.181818181818183	12.379579999999999
C-GC-3_S58_L005_R1_001	67.83732335110706	49.0	50.0	50	18.181818181818183	12.751356999999999
C-GC-3_S58_L006_R1_001	67.6353653046061	49.0	50.0	50	27.27272727272727	12.622679999999999
C-GC-3_S58_L007_R1_001	67.20966378199861	49.0	50.0	50	18.181818181818183	12.370597
C-GC-5_S59_L005_R1_001	65.21650222260006	48.0	50.0	50	18.181818181818183	12.550327
C-GC-5_S59_L006_R1_001	64.95791026533303	48.0	50.0	50	27.27272727272727	12.424745
C-GC-5_S59_L007_R1_001	64.42080920737412	48.0	50.0	50	18.181818181818183	12.162937999999999
