Module	Section	Sample Name	Source
FastQC	all_sections	C-Ba-1_S54_L005_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-Ba-1_S54_L005_R1_001_fastqc.zip
FastQC	all_sections	C-Ba-1_S54_L006_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-Ba-1_S54_L006_R1_001_fastqc.zip
FastQC	all_sections	C-Ba-1_S54_L007_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-Ba-1_S54_L007_R1_001_fastqc.zip
FastQC	all_sections	C-Ba-2_S55_L005_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-Ba-2_S55_L005_R1_001_fastqc.zip
FastQC	all_sections	C-Ba-2_S55_L006_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-Ba-2_S55_L006_R1_001_fastqc.zip
FastQC	all_sections	C-Ba-2_S55_L007_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-Ba-2_S55_L007_R1_001_fastqc.zip
FastQC	all_sections	C-Ba-3_S56_L005_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-Ba-3_S56_L005_R1_001_fastqc.zip
FastQC	all_sections	C-Ba-3_S56_L006_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-Ba-3_S56_L006_R1_001_fastqc.zip
FastQC	all_sections	C-Ba-3_S56_L007_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-Ba-3_S56_L007_R1_001_fastqc.zip
FastQC	all_sections	C-FLT-1_S60_L005_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-FLT-1_S60_L005_R1_001_fastqc.zip
FastQC	all_sections	C-FLT-1_S60_L006_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-FLT-1_S60_L006_R1_001_fastqc.zip
FastQC	all_sections	C-FLT-1_S60_L007_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-FLT-1_S60_L007_R1_001_fastqc.zip
FastQC	all_sections	C-FLT-2_S61_L005_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-FLT-2_S61_L005_R1_001_fastqc.zip
FastQC	all_sections	C-FLT-2_S61_L006_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-FLT-2_S61_L006_R1_001_fastqc.zip
FastQC	all_sections	C-FLT-2_S61_L007_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-FLT-2_S61_L007_R1_001_fastqc.zip
FastQC	all_sections	C-FLT-4_S62_L005_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-FLT-4_S62_L005_R1_001_fastqc.zip
FastQC	all_sections	C-FLT-4_S62_L006_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-FLT-4_S62_L006_R1_001_fastqc.zip
FastQC	all_sections	C-FLT-4_S62_L007_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-FLT-4_S62_L007_R1_001_fastqc.zip
FastQC	all_sections	C-GC-2_S57_L005_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-GC-2_S57_L005_R1_001_fastqc.zip
FastQC	all_sections	C-GC-2_S57_L006_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-GC-2_S57_L006_R1_001_fastqc.zip
FastQC	all_sections	C-GC-2_S57_L007_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-GC-2_S57_L007_R1_001_fastqc.zip
FastQC	all_sections	C-GC-3_S58_L005_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-GC-3_S58_L005_R1_001_fastqc.zip
FastQC	all_sections	C-GC-3_S58_L006_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-GC-3_S58_L006_R1_001_fastqc.zip
FastQC	all_sections	C-GC-3_S58_L007_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-GC-3_S58_L007_R1_001_fastqc.zip
FastQC	all_sections	C-GC-5_S59_L005_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-GC-5_S59_L005_R1_001_fastqc.zip
FastQC	all_sections	C-GC-5_S59_L006_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-GC-5_S59_L006_R1_001_fastqc.zip
FastQC	all_sections	C-GC-5_S59_L007_R1_001	/Users/bry_lee/osd47-spaceflight-multiomics/results/qc/raw_fastqc/C-GC-5_S59_L007_R1_001_fastqc.zip
